Reg	Orden	Hogar	Fex_c	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	P23	Llave_viv	Llave_hog	Fex_c_2011
50	01	02	812.81570184	1	1												200601200023	20060120002302	904.16606363359
50	02	02	812.81570184	1	4	2	2	2	2	1	12						200601200023	20060120002302	904.16606363359
50	03	02	812.81570184	1	3	2	2	2	2	2							200601200023	20060120002302	904.16606363359
50	01	01	688.45718869	2	1												200601200024	20060120002401	687.763540991129
50	02	01	688.45718869	2	4	2	2	2	2	2							200601200024	20060120002401	687.763540991129
50	03	01	688.45718869	2	3	2	2	2	2	2							200601200024	20060120002401	687.763540991129
50	01	01	492.17195553	2	1												200601200025	20060120002501	485.653354822294
50	02	01	492.17195553	2	4	2	2	2	2	2							200601200025	20060120002501	485.653354822294
50	01	01	629.67751814	1	4	2	2	2	2	2							200601200026	20060120002601	631.791463031547
50	02	01	629.67751814	1	1												200601200026	20060120002601	631.791463031547
50	03	01	629.67751814	1	3	2	2	2	2	2							200601200026	20060120002601	631.791463031547
50	04	01	629.67751814	1	3	2	2	2	2	2							200601200026	20060120002601	631.791463031547
50	01	01	717.99799992	2	1												200601200027	20060120002701	720.547121845338
50	02	01	717.99799992	2	4	1											200601200027	20060120002701	720.547121845338
50	03	01	717.99799992	2	3	2	2	2	2	2							200601200027	20060120002701	720.547121845338
50	01	01	614.92865224	1	1												200601200028	20060120002801	611.214406115766
50	02	01	614.92865224	2	4	2	2	2	2	1	11						200601200028	20060120002801	611.214406115766
50	03	01	614.92865224	1	4	2	2	2	2	2							200601200028	20060120002801	611.214406115766
50	01	01	711.59218537	2	1												200601200029	20060120002901	712.666790564835
50	02	01	711.59218537	2	4	2	2	2	2	2							200601200029	20060120002901	712.666790564835
50	03	01	711.59218537	2	3	2	2	2	2	2							200601200029	20060120002901	712.666790564835
50	01	01	753.84191853	1	4	2	2	2	2	2							200601200030	20060120003001	752.982586696866
50	02	01	753.84191853	1	1												200601200030	20060120003001	752.982586696866
50	03	01	753.84191853	1	2	2	2	2	1							1	200601200030	20060120003001	752.982586696866
50	01	01	748.65528374	1	1												200601200031	20060120003101	749.974875976661
50	02	01	748.65528374	1	1												200601200031	20060120003101	749.974875976661
50	03	01	748.65528374	1	5	2	2	2	1							1	200601200031	20060120003101	749.974875976661
50	01	01	765.40685088	2	1												200601200032	20060120003201	768.174549057293
50	02	01	765.40685088	2	1												200601200032	20060120003201	768.174549057293
50	03	01	765.40685088	2	3	2	2	2	1							1	200601200032	20060120003201	768.174549057293
50	01	01	603.43318237	2	1												200601200033	20060120003301	600.511042093384
50	02	01	603.43318237	2	4	2	2	2	2	2							200601200033	20060120003301	600.511042093384
50	03	01	603.43318237	2	5	2	2	2	1							1	200601200033	20060120003301	600.511042093384
50	01	01	507.73172104	3	4	2	2	2	1							1	200601200034	20060120003401	502.722577479303
50	02	01	507.73172104	3	4	2	2	2	1							1	200601200034	20060120003401	502.722577479303
50	03	01	507.73172104	3	4	2	2	2	1							1	200601200034	20060120003401	502.722577479303
50	04	01	507.73172104	3	1												200601200034	20060120003401	502.722577479303
50	05	01	507.73172104	3	3	2	2	2	2	2							200601200034	20060120003401	502.722577479303
50	01	01	628.04832356	1	1												200601200035	20060120003501	625.571908910224
50	02	01	628.04832356	2	4	2	2	2	2	1	12						200601200035	20060120003501	625.571908910224
50	01	01	674.99696504	1	4	2	2	2	2	1	11						200601200036	20060120003601	676.547702973692
50	02	01	674.99696504	2	4	2	2	2	1							1	200601200036	20060120003601	676.547702973692
50	01	01	812.81570184	2	1												200601200037	20060120003701	815.801976269249
50	02	01	812.81570184	2	1												200601200037	20060120003701	815.801976269249
50	03	01	812.81570184	2	1												200601200037	20060120003701	815.801976269249
50	01	01	668.74331775	2	1												200601200038	20060120003801	666.722164608224
50	02	01	668.74331775	2	1												200601200038	20060120003801	666.722164608224
50	03	01	668.74331775	2	1												200601200038	20060120003801	666.722164608224
50	01	01	711.37055562	2	1												200601200039	20060120003901	710.123399311754
50	02	01	711.37055562	2	1												200601200039	20060120003901	710.123399311754
50	01	01	818.99988665	2	1												200601200040	20060120004001	821.13891629667
50	02	01	818.99988665	2	1												200601200040	20060120004001	821.13891629667
50	01	01	636.30966521	1	5	1											200601200041	20060120004101	635.585478789789
50	02	01	636.30966521	1	5	2	2	2	1							1	200601200041	20060120004101	635.585478789789
50	03	01	636.30966521	1	5	2	2	2	2	2							200601200041	20060120004101	635.585478789789
50	01	01	665.18088442	2	5	2	1										200601200042	20060120004201	667.368592660096
50	02	01	665.18088442	2	4	2	2	2	2	1	08	1	1		1	1	200601200042	20060120004201	667.368592660096
50	01	01	727.02483136	1	4	2	2	2	1							1	200601200043	20060120004301	728.932467249523
50	02	01	727.02483136	1	6												200601200043	20060120004301	728.932467249523
50	03	01	727.02483136	2	1												200601200043	20060120004301	728.932467249523
50	04	01	727.02483136	2	4	2	2	2	1							1	200601200043	20060120004301	728.932467249523
50	01	01	570.72611984	1	4	2	1										200601200044	20060120004401	570.148828246593
50	02	01	570.72611984	1	1												200601200044	20060120004401	570.148828246593
50	03	01	570.72611984	1	4	2	2	2	2	1	12						200601200044	20060120004401	570.148828246593
50	06	01	570.72611984	1	3	2	2	2	1							1	200601200044	20060120004401	570.148828246593
50	01	01	703.22161703	1	4	2	2	2	2	2							200601200045	20060120004501	704.273985289276
50	02	01	703.22161703	1	1												200601200045	20060120004501	704.273985289276
50	01	01	658.77506987	1	2	2	2	2	1							1	200601200046	20060120004601	659.488261379594
50	02	01	658.77506987	1	1												200601200046	20060120004601	659.488261379594
50	01	01	699.58972122	1	5	1											200601200047	20060120004701	700.431815003103
50	01	01	765.18522113	2	1												200601200048	20060120004801	765.631157804212
50	02	01	765.18522113	2	4	2	2	2	1							1	200601200048	20060120004801	765.631157804212
50	01	01	747.92510355	2	1												200601200049	20060120004901	746.746375170526
50	02	01	747.92510355	2	4	2	2	2	2	2							200601200049	20060120004901	746.746375170526
50	01	01	726.54893598	1	5	2	2	2	2	1	11						200601200050	20060120005001	725.834038339213
50	02	01	726.54893598	1	4	2	2	2	2	2							200601200050	20060120005001	725.834038339213
50	03	01	726.54893598	1	3	2	2	2	2	2							200601200050	20060120005001	725.834038339213
50	01	01	722.14319324	2	1												200601200051	20060120005101	722.377899240471
50	02	01	722.14319324	2	4	2	2	2	2	1	04	1	2				200601200051	20060120005101	722.377899240471
50	06	01	722.14319324	2	5	2	2	2	2	2							200601200051	20060120005101	722.377899240471
50	01	01	813.45394111	2	1												200601200052	20060120005201	817.327099442875
50	02	01	813.45394111	2	4	2	2	2	2	1	12						200601200052	20060120005201	817.327099442875
50	03	01	813.45394111	2	3	2	2	2	2	2							200601200052	20060120005201	817.327099442875
50	05	01	813.45394111	2	5	2	2	2	1							1	200601200052	20060120005201	817.327099442875
50	01	01	902.89091677	2	6												200601200053	20060120005301	905.833949576742
50	02	01	902.89091677	2	1												200601200053	20060120005301	905.833949576742
50	03	01	902.89091677	2	1												200601200053	20060120005301	905.833949576742
50	04	01	902.89091677	2	3	2	2	2	2	1	14						200601200053	20060120005301	905.833949576742
50	05	01	902.89091677	2	3	2	2	2	2	1	14						200601200053	20060120005301	905.833949576742
50	01	01	719.92301486	1	4	1											200601200054	20060120005401	720.115880685632
50	02	01	719.92301486	1	3	2	2	2	2	1	14						200601200054	20060120005401	720.115880685632
50	03	01	719.92301486	1	3	2	2	2	2	2							200601200054	20060120005401	720.115880685632
50	04	01	719.92301486	1	1												200601200054	20060120005401	720.115880685632
50	01	01	784.62554686	2	2	2	2	2	1							1	200601200055	20060120005501	783.822797761334
50	02	01	784.62554686	2	4	1											200601200055	20060120005501	783.822797761334
50	03	01	784.62554686	2	4	2	2	2	1							1	200601200055	20060120005501	783.822797761334
50	04	01	784.62554686	2	3	1											200601200055	20060120005501	783.822797761334
50	07	01	784.62554686	7	1												200601200055	20060120005501	783.822797761334
50	08	01	784.62554686	7	6												200601200055	20060120005501	783.822797761334
50	01	01	1013.4905832	1	4	2	2	2	2	1	13						200601200056	20060120005601	1026.89780109964
50	02	01	1013.4905832	1	5	2	2	2	2	1	13						200601200056	20060120005601	1026.89780109964
50	03	01	1013.4905832	1	1												200601200056	20060120005601	1026.89780109964
50	04	01	1013.4905832	1	5	2	2	2	1							1	200601200056	20060120005601	1026.89780109964
50	01	02	769.04713629	2	1												200601200056	20060120005602	1026.89780109964
50	02	02	769.04713629	2	4	2	2	2	2	2							200601200056	20060120005602	1026.89780109964
50	01	01	710.34901796	1	4	2	2	2	2	2							200601200057	20060120005701	711.331926579793
50	02	01	710.34901796	1	1												200601200057	20060120005701	711.331926579793
50	03	01	710.34901796	1	5	2	2	2	2	2							200601200057	20060120005701	711.331926579793
50	04	01	710.34901796	1	5	2	2	2	2	2							200601200057	20060120005701	711.331926579793
50	05	01	710.34901796	1	5	2	2	2	2	2							200601200057	20060120005701	711.331926579793
50	06	01	710.34901796	1	1												200601200057	20060120005701	711.331926579793
50	01	01	974.84887275	1	4	2	2	2	2	2							200601200058	20060120005801	976.311485437367
50	02	01	974.84887275	1	5	2	2	2	1							1	200601200058	20060120005801	976.311485437367
50	03	01	974.84887275	1	1												200601200058	20060120005801	976.311485437367
50	01	01	516.86387279	1	4	2	2	2	2	1	07	1	2				200601200059	20060120005901	515.779083525388
50	02	01	516.86387279	1	1												200601200059	20060120005901	515.779083525388
50	03	01	516.86387279	1	3	2	2	2	2	2							200601200059	20060120005901	515.779083525388
50	04	01	516.86387279	1	1												200601200059	20060120005901	515.779083525388
50	05	01	516.86387279	1	3	2	2	2	2	2							200601200059	20060120005901	515.779083525388
50	01	01	775.91051818	2	1												200601200060	20060120006001	777.733960412331
50	02	01	775.91051818	2	4	2	2	2	2	2							200601200060	20060120006001	777.733960412331
50	01	01	616.55743402	2	1												200601200061	20060120006101	616.004504529027
50	02	01	616.55743402	2	4	2	2	2	1							1	200601200061	20060120006101	616.004504529027
50	01	01	818.99988665	1	1												200601200062	20060120006201	821.13891629667
50	02	01	818.99988665	1	1												200601200062	20060120006201	821.13891629667
50	01	01	754.83946854	1	1												200601200063	20060120006301	755.311816004083
50	02	01	754.83946854	1	1												200601200063	20060120006301	755.311816004083
50	01	01	711.59218537	2	5	2	1										200601200064	20060120006401	712.666790564835
50	02	01	711.59218537	2	5	2	1										200601200064	20060120006401	712.666790564835
50	03	01	711.59218537	2	3	2	2	2	2	2							200601200064	20060120006401	712.666790564835
50	01	01	659.35963696	1	5	2	1										200601200065	20060120006501	660.066742643082
50	02	01	659.35963696	1	5	2	2	2	1							1	200601200065	20060120006501	660.066742643082
50	03	01	659.35963696	1	3	2	2	2	2	2							200601200065	20060120006501	660.066742643082
50	04	01	659.35963696	1	3	2	2	2	2	2							200601200065	20060120006501	660.066742643082
50	05	01	659.35963696	1	3	2	2	2	2	2							200601200065	20060120006501	660.066742643082
50	01	01	563.7357382	1	1												200601200066	20060120006601	561.690015702602
50	01	01	742.2718542	2	1												200601200067	20060120006701	743.271299483587
50	02	01	742.2718542	2	1												200601200067	20060120006701	743.271299483587
50	03	01	742.2718542	2	3	2	2	2	2	1	14						200601200067	20060120006701	743.271299483587
50	01	01	565.31785531	1	4	2	2	2	1							1	200601200068	20060120006801	564.597726273307
50	02	01	565.31785531	1	5	2	2	2	1							1	200601200068	20060120006801	564.597726273307
50	03	01	565.31785531	1	5	2	2	2	2	1	15						200601200068	20060120006801	564.597726273307
50	01	01	718.77392019	1	1												200601200069	20060120006901	720.332959899474
50	01	01	822.63178246	1	4	2	2	2	2	2							200601200070	20060120007001	824.981086582844
50	02	01	822.63178246	1	1												200601200070	20060120007001	824.981086582844
50	03	01	822.63178246	1	1												200601200070	20060120007001	824.981086582844
50	01	01	771.59103568	2	5	2	1										200601200071	20060120007101	773.511489084715
50	02	01	771.59103568	2	5	2	1										200601200071	20060120007101	773.511489084715
50	01	01	703.22161703	1	1												200601200072	20060120007201	704.273985289276
50	02	01	703.22161703	1	5	2	2	2	1							1	200601200072	20060120007201	704.273985289276
50	01	01	612.15003073	2	6												200601200073	20060120007301	613.805951896779
50	02	01	612.15003073	2	4	2	2	2	2	2							200601200073	20060120007301	613.805951896779
50	03	01	612.15003073	2	5	1											200601200073	20060120007301	613.805951896779
50	04	01	612.15003073	2	3	2	2	2	2	2							200601200073	20060120007301	613.805951896779
50	05	01	612.15003073	2	5	2	1										200601200073	20060120007301	613.805951896779
50	06	01	612.15003073	2	5	2	1										200601200073	20060120007301	613.805951896779
50	01	01	528.04398685	1	1												200601200074	20060120007401	527.309343766109
50	02	01	528.04398685	1	4	2	2	2	2	2							200601200074	20060120007401	527.309343766109
50	01	01	694.86300324	3	1												200601200075	20060120007501	695.643872271632
50	02	01	694.86300324	3	5	2	2	2	2	2							200601200075	20060120007501	695.643872271632
50	03	01	694.86300324	3	4	2	2	2	1							1	200601200075	20060120007501	695.643872271632
50	01	01	759.22266608	2	5	1											200601200076	20060120007601	762.837609029871
50	02	01	759.22266608	2	4	2	1										200601200076	20060120007601	762.837609029871
50	03	01	759.22266608	2	5	2	1										200601200076	20060120007601	762.837609029871
50	04	01	759.22266608	2	3	2	2	2	2	2							200601200076	20060120007601	762.837609029871
50	01	01	759.00103633	2	5	2	2	2	1							1	200601200077	20060120007701	760.29421777679
50	02	01	759.00103633	2	4	2	2	2	1							1	200601200077	20060120007701	760.29421777679
50	03	01	759.00103633	2	3	2	2	2	2	2							200601200077	20060120007701	760.29421777679
50	01	01	881.762865	1	5	2	2	2	1							1	200601200078	20060120007801	880.374593923114
50	02	01	881.762865	2	4	2	2	2	2	2							200601200078	20060120007801	880.374593923114
50	03	01	881.762865	2	5	2	2	2	1							1	200601200078	20060120007801	880.374593923114
50	04	01	881.762865	2	5	2	2	2	2	2							200601200078	20060120007801	880.374593923114
50	01	01	588.45285198	1	1												200601200079	20060120007901	589.500975847013
50	02	01	588.45285198	1	5	2	2	2	1							1	200601200079	20060120007901	589.500975847013
50	03	01	588.45285198	1	4	2	2	2	2	1	11						200601200079	20060120007901	589.500975847013
50	01	01	523.5802484	1	4	2	2	2	2	1	13						200601200080	20060120008001	520.332866533478
50	02	01	523.5802484	1	2	2	2	2	1							1	200601200080	20060120008001	520.332866533478
50	03	01	523.5802484	1	1												200601200080	20060120008001	520.332866533478
50	08	01	523.5802484	1	4	2	2	2	2	1	13						200601200080	20060120008001	520.332866533478
50	11	01	523.5802484	1	6												200601200080	20060120008001	520.332866533478
50	01	01	745.47135019	2	1												200601200081	20060120008101	744.589781421308
50	02	01	745.47135019	2	1												200601200081	20060120008101	744.589781421308
50	01	01	717.77637017	1	5	2	1										200601200082	20060120008201	718.003730592257
50	02	01	717.77637017	1	4	1											200601200082	20060120008201	718.003730592257
50	01	01	784.59104985	2	1												200601200083	20060120008301	788.075693953664
50	02	01	784.59104985	2	1												200601200083	20060120008301	788.075693953664
50	03	01	784.59104985	2	1												200601200083	20060120008301	788.075693953664
50	01	01	717.77637017	2	1												200601200084	20060120008401	718.003730592257
50	02	01	717.77637017	2	4	2	2	2	2	2							200601200084	20060120008401	718.003730592257
50	01	01	818.99988665	2	1												200601200085	20060120008501	821.13891629667
50	02	01	818.99988665	2	4	2	2	2	2	2							200601200085	20060120008501	821.13891629667
50	01	01	717.77637017	2	1												200601200086	20060120008601	718.003730592257
50	02	01	717.77637017	2	4	2	2	2	2	2							200601200086	20060120008601	718.003730592257
50	01	01	671.36506923	1	1												200601200087	20060120008701	672.705532687518
50	01	01	812.81570184	1	1												200601200088	20060120008801	815.801976269249
50	02	01	812.81570184	1	4	2	2	2	2	2							200601200088	20060120008801	815.801976269249
50	03	01	812.81570184	1	5	2	2	2	1							1	200601200088	20060120008801	815.801976269249
50	01	01	765.18522113	1	4	2	2	2	2	2							200601200089	20060120008901	765.631157804212
50	02	01	765.18522113	1	5	2	1										200601200089	20060120008901	765.631157804212
50	01	01	736.0876694	1	1												200601200090	20060120009001	737.934359456166
50	02	01	736.0876694	1	1												200601200090	20060120009001	737.934359456166
50	03	01	736.0876694	1	3	2	2	2	2	2							200601200090	20060120009001	737.934359456166
50	04	01	736.0876694	1	3	2	2	2	2	2							200601200090	20060120009001	737.934359456166
50	01	01	784.59104985	2	1												200601200091	20060120009101	788.075693953664
50	02	01	784.59104985	2	4	2	2	2	2	1	11						200601200091	20060120009101	788.075693953664
50	03	01	784.59104985	2	1												200601200091	20060120009101	788.075693953664
50	01	01	830.12945105	1	4	1											200601200092	20060120009201	833.40337582594
50	02	01	830.12945105	1	1												200601200092	20060120009201	833.40337582594
50	03	01	830.12945105	1	1												200601200092	20060120009201	833.40337582594
50	04	01	830.12945105	1	1												200601200092	20060120009201	833.40337582594
50	05	01	830.12945105	1	4	2	2	2	1							1	200601200092	20060120009201	833.40337582594
50	06	01	830.12945105	1	1												200601200092	20060120009201	833.40337582594
50	01	01	809.6317683	2	4	2	2	2	2	2							200601200093	20060120009301	810.416881713895
50	02	01	809.6317683	2	1												200601200093	20060120009301	810.416881713895
50	01	01	569.48455506	2	5	2	1										200601200094	20060120009401	564.099452898866
50	02	01	569.48455506	2	4	2	2	2	2	1	12						200601200094	20060120009401	564.099452898866
50	07	01	569.48455506	2	6												200601200094	20060120009401	564.099452898866
50	08	01	569.48455506	2	1												200601200094	20060120009401	564.099452898866
50	01	01	682.27300389	1	5	1											200601200095	20060120009501	682.426600963707
50	02	01	682.27300389	1	4	2	2	2	2	1	12						200601200095	20060120009501	682.426600963707
50	03	01	682.27300389	1	5	2	2	2	1							1	200601200095	20060120009501	682.426600963707
50	04	01	682.27300389	1	3	2	2	2	2	2							200601200095	20060120009501	682.426600963707
50	01	01	818.99988665	2	1												200601200096	20060120009601	821.13891629667
50	02	01	818.99988665	2	4	2	2	2	2	1	08	1	2				200601200096	20060120009601	821.13891629667
50	01	01	694.86300324	3	1												200601200097	20060120009701	695.643872271632
50	02	01	694.86300324	3	4	2	2	2	2	2							200601200097	20060120009701	695.643872271632
50	03	01	694.86300324	3	1												200601200097	20060120009701	695.643872271632
50	01	01	845.69731665	1	4	2	2	2	2	2							200601200098	20060120009801	845.395737818504
50	02	01	845.69731665	1	1												200601200098	20060120009801	845.395737818504
50	03	01	845.69731665	1	1												200601200098	20060120009801	845.395737818504
50	01	01	688.45718869	1	5	2	1										200601200099	20060120009901	687.763540991129
50	02	01	688.45718869	1	1												200601200099	20060120009901	687.763540991129
50	03	01	688.45718869	1	3	2	2	2	2	2							200601200099	20060120009901	687.763540991129
50	01	01	765.18522113	1	1												200601200100	20060120010001	765.631157804212
50	02	01	765.18522113	1	1												200601200100	20060120010001	765.631157804212
50	01	01	639.49359876	2	1												200601200101	20060120010101	640.970573345142
50	02	01	639.49359876	2	4	2	2	2	1							1	200601200101	20060120010101	640.970573345142
50	03	01	639.49359876	2	1												200601200101	20060120010101	640.970573345142
50	04	01	639.49359876	2	5	2	2	2	2	2							200601200101	20060120010101	640.970573345142
50	01	01	795.0889697	2	1												200601200102	20060120010201	796.449828668828
50	02	01	795.0889697	2	4	2	2	2	1							1	200601200102	20060120010201	796.449828668828
50	03	01	795.0889697	2	3	2	2	2	2	2							200601200102	20060120010201	796.449828668828
50	05	01	795.0889697	2	1												200601200102	20060120010201	796.449828668828
50	01	01	765.18522113	2	1												200601200103	20060120010301	765.631157804212
50	02	01	765.18522113	2	4	1											200601200103	20060120010301	765.631157804212
50	01	01	724.06252757	3	4	2	2	2	2	2							200601200104	20060120010401	726.09076394725
50	02	01	724.06252757	3	5	2	2	2	2	2							200601200104	20060120010401	726.09076394725
50	03	01	724.06252757	3	1												200601200104	20060120010401	726.09076394725
50	04	01	724.06252757	3	1												200601200104	20060120010401	726.09076394725
50	01	01	712.58973538	2	1												200601200105	20060120010501	714.996019872052
50	02	01	712.58973538	2	3	2	2	2	2	2							200601200105	20060120010501	714.996019872052
50	01	01	765.40685088	2	1												200601200106	20060120010601	768.174549057293
50	02	01	765.40685088	2	4	2	2	2	1							1	200601200106	20060120010601	768.174549057293
50	03	01	765.40685088	2	3	2	2	2	2	2							200601200106	20060120010601	768.174549057293
50	01	01	635.86170294	1	1												200601200107	20060120010701	637.128403058969
50	02	01	635.86170294	1	3	2	2	2	2	2							200601200107	20060120010701	637.128403058969
50	03	01	635.86170294	1	5	2	2	2	2	2							200601200107	20060120010701	637.128403058969
50	01	01	697.03743223	1	4	2	2	2	2	1	11						200601200108	20060120010801	698.937045261855
50	02	01	697.03743223	1	1												200601200108	20060120010801	698.937045261855
50	03	01	697.03743223	1	5	1											200601200108	20060120010801	698.937045261855
50	01	01	741.83945437	1	5	2	2	2	2	2							200601200109	20060120010901	740.747611135134
50	01	01	762.22291733	1	4	2	2	2	2	2							200601200110	20060120011001	762.78945450194
50	02	01	762.22291733	1	1												200601200110	20060120011001	762.78945450194
50	01	01	806.63151704	2	1												200601200111	20060120011101	810.465036241827
50	02	01	806.63151704	2	4	2	2	2	2	2							200601200111	20060120011101	810.465036241827
50	03	01	806.63151704	2	1												200601200111	20060120011101	810.465036241827
50	04	01	806.63151704	2	3	2	2	2	2	2							200601200111	20060120011101	810.465036241827
50	01	01	759.00103633	1	1												200601200112	20060120011201	760.29421777679
50	02	01	759.00103633	1	1												200601200112	20060120011201	760.29421777679
50	03	01	759.00103633	1	3	2	2	2	2	2							200601200112	20060120011201	760.29421777679
50	01	01	809.6317683	1	5	1											200601200113	20060120011301	810.416881713895
50	02	01	809.6317683	1	1												200601200113	20060120011301	810.416881713895
50	01	01	741.83945437	1	5	2	2	2	2	2							200601200114	20060120011401	740.747611135134
50	01	01	765.18522113	1	1												200601200115	20060120011501	765.631157804212
50	02	01	765.18522113	1	1												200601200115	20060120011501	765.631157804212
50	01	01	776.31478554	2	1												200601200116	20060120011601	777.895617333482
50	02	01	776.31478554	2	1												200601200116	20060120011601	777.895617333482
50	03	01	776.31478554	2	3	2	2	2	2	2							200601200116	20060120011601	777.895617333482
50	04	01	776.31478554	2	3	2	2	2	2	1	11						200601200116	20060120011601	777.895617333482
50	05	01	776.31478554	2	3	2	2	2	2	1	11						200601200116	20060120011601	777.895617333482
50	07	01	776.31478554	2	1												200601200116	20060120011601	777.895617333482
50	01	01	759.00103633	2	1												200601200117	20060120011701	760.29421777679
