Reg	Orden	Hogar	Fex_c	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	P23	Llave_viv	Llave_hog	Fex_c_2011
50	02	01	1840.0467804	1	3	2	2	1									200601300018	20060130001801	1817.03735237814
50	03	01	1840.0467804	1	3	2	2	1									200601300018	20060130001801	1817.03735237814
50	01	01	1109.4745279	1	4	1											200601300019	20060130001901	1099.21893291182
50	01	01	1339.748064	1	1												200601300020	20060130002001	1344.09564995676
50	02	01	1339.748064	1	4	2	2	2	2	2							200601300020	20060130002001	1344.09564995676
50	01	01	3757.1850339	7	1												200601300021	20060130002101	3736.7987578283
50	02	01	3757.1850339	7	4	2	2	2	2	2							200601300021	20060130002101	3736.7987578283
50	03	01	3757.1850339	7	1												200601300021	20060130002101	3736.7987578283
50	04	01	3757.1850339	7	1												200601300021	20060130002101	3736.7987578283
50	05	01	3757.1850339	7	3	2	2	2	2	2							200601300021	20060130002101	3736.7987578283
50	06	01	3757.1850339	7	3	2	2	2	2	2							200601300021	20060130002101	3736.7987578283
50	07	01	3757.1850339	7	5	2	1										200601300021	20060130002101	3736.7987578283
50	08	01	3757.1850339	7	4	2	2	2	2	2							200601300021	20060130002101	3736.7987578283
50	09	01	3757.1850339	7	1												200601300021	20060130002101	3736.7987578283
50	01	01	5078.1250089	2	1												200601300022	20060130002201	5041.5899066655
50	02	01	5078.1250089	2	4	2	2	2	2	2							200601300022	20060130002201	5041.5899066655
50	03	01	5078.1250089	1	3	2	2	2	2	2							200601300022	20060130002201	5041.5899066655
50	04	01	5078.1250089	1	3	2	2	2	2	2							200601300022	20060130002201	5041.5899066655
50	01	01	4308.9990648	2	6												200601300023	20060130002301	4307.28504307732
50	02	01	4308.9990648	2	6												200601300023	20060130002301	4307.28504307732
50	03	01	4308.9990648	2	6												200601300023	20060130002301	4307.28504307732
50	04	01	4308.9990648	2	1												200601300023	20060130002301	4307.28504307732
50	01	01	3756.2611832	2	1												200601300024	20060130002401	3718.01290462532
50	02	01	3756.2611832	2	4	2	2	2	2	2							200601300024	20060130002401	3718.01290462532
50	01	01	2615.2776858	2	1												200601300025	20060130002501	2639.21499503224
50	02	01	2615.2776858	2	4	2	2	2	2	2							200601300025	20060130002501	2639.21499503224
50	03	01	2615.2776858	2	3	2	2	2	2	2							200601300025	20060130002501	2639.21499503224
50	04	01	2615.2776858	2	3	2	2	2	2	2							200601300025	20060130002501	2639.21499503224
50	01	01	4205.4720444	1	4	2	2	2	2	2							200601300026	20060130002601	4276.23955336263
50	02	01	4205.4720444	1	5	2	2	2	2	2							200601300026	20060130002601	4276.23955336263
50	01	01	3913.2340688	1	1												200601300027	20060130002701	3915.32086805225
50	02	01	3913.2340688	2	4	2	2	2	2	2							200601300027	20060130002701	3915.32086805225
50	01	01	3486.4908495	2	1												200601300028	20060130002801	3491.72327783302
50	02	01	3486.4908495	2	4	2	2	2	2	2							200601300028	20060130002801	3491.72327783302
50	01	01	3844.0913503	3	1												200601300029	20060130002901	3855.96712733129
50	02	01	3844.0913503	3	4	2	2	2	2	2							200601300029	20060130002901	3855.96712733129
50	03	01	3844.0913503	3	4	2	2	2	2	1	05	2		1	2	1	200601300029	20060130002901	3855.96712733129
50	04	01	3844.0913503	3	3	2	2	1									200601300029	20060130002901	3855.96712733129
50	01	01	2964.1374339	3	1												200601300030	20060130003001	2987.63771812612
50	02	01	2964.1374339	3	6												200601300030	20060130003001	2987.63771812612
50	03	01	2964.1374339	3	1												200601300030	20060130003001	2987.63771812612
50	04	01	2964.1374339	3	3	2	2	2	2	2							200601300030	20060130003001	2987.63771812612
50	07	01	2964.1374339	3	4	2	2	2	2	2							200601300030	20060130003001	2987.63771812612
50	01	01	4130.3268279	1	5	2	2	2	1							1	200601300031	20060130003101	4127.9890698225
50	02	01	4130.3268279	1	4	2	2	2	2	2							200601300031	20060130003101	4127.9890698225
50	03	01	4130.3268279	1	5	2	2	2	2	2							200601300031	20060130003101	4127.9890698225
50	04	01	4130.3268279	1	3	2	2	2	2	2							200601300031	20060130003101	4127.9890698225
50	01	01	4199.4695464	2	1												200601300032	20060130003201	4187.34281054345
50	02	01	4199.4695464	2	4	2	2	2	2	2							200601300032	20060130003201	4187.34281054345
50	01	01	3564.3465017	2	1												200601300033	20060130003301	3610.58686621478
50	02	01	3564.3465017	2	4	2	2	2	2	2							200601300033	20060130003301	3610.58686621478
50	03	01	3564.3465017	2	4	2	2	2	1							1	200601300033	20060130003301	3610.58686621478
50	01	01	2755.7854275	2	1												200601300034	20060130003401	2790.79064276027
50	02	01	2755.7854275	2	4	2	2	2	2	2							200601300034	20060130003401	2790.79064276027
50	03	01	2755.7854275	2	3	2	2	2	2	2							200601300034	20060130003401	2790.79064276027
50	04	01	2755.7854275	2	3	2	2	2	2	2							200601300034	20060130003401	2790.79064276027
50	01	01	3268.6683529	2	1												200601300035	20060130003501	3313.04479142153
50	02	01	3268.6683529	2	4	2	2	1									200601300035	20060130003501	3313.04479142153
50	01	01	4690.5826451	4	4	2	2	2	2	2							200601300036	20060130003601	4691.91298545338
50	02	01	4690.5826451	4	1												200601300036	20060130003601	4691.91298545338
50	03	01	4690.5826451	3	1												200601300036	20060130003601	4691.91298545338
50	04	01	4690.5826451	4	4	2	2	2	2	2							200601300036	20060130003601	4691.91298545338
50	01	01	3791.4758068	1	5	1											200601300037	20060130003701	3826.3324345171
50	02	01	3791.4758068	1	4	2	2	2	2	2							200601300037	20060130003701	3826.3324345171
50	01	01	4183.0044026	2	1												200601300038	20060130003801	4141.61049484455
50	02	01	4183.0044026	2	4	2	2	2	2	2							200601300038	20060130003801	4141.61049484455
50	01	01	4053.7418106	2	1												200601300039	20060130003901	4066.89651578027
50	02	01	4053.7418106	2	4	2	2	2	2	2							200601300039	20060130003901	4066.89651578027
50	01	01	4116.3939001	1	1												200601300040	20060130004001	4099.60857512654
50	01	01	5113.0411562	1	4	2	2	2	2	2							200601300041	20060130004101	5074.87435819786
50	02	01	5113.0411562	1	4	2	2	2	2	1	08	2		2			200601300041	20060130004101	5074.87435819786
50	03	01	5113.0411562	1	1												200601300041	20060130004101	5074.87435819786
50	04	01	5113.0411562	1	1												200601300041	20060130004101	5074.87435819786
50	05	01	5113.0411562	1	1												200601300041	20060130004101	5074.87435819786
50	06	01	5113.0411562	1	3	2	2	2	2	2							200601300041	20060130004101	5074.87435819786
50	08	01	5113.0411562	1	3	2	2	2	2	2							200601300041	20060130004101	5074.87435819786
50	01	01	5440.9455038	1	5	1											200601300042	20060130004201	5374.70440319892
50	02	01	5440.9455038	1	4	2	2	2	2	2							200601300042	20060130004201	5374.70440319892
50	03	01	5440.9455038	1	1												200601300042	20060130004201	5374.70440319892
50	04	01	5440.9455038	1	5	2	2	2	2	2							200601300042	20060130004201	5374.70440319892
50	05	01	5440.9455038	1	5	2	2	2	2	2							200601300042	20060130004201	5374.70440319892
50	06	01	5440.9455038	1	3	2	2	2	2	2							200601300042	20060130004201	5374.70440319892
50	01	01	4373.9212768	2	5	2	1										200601300043	20060130004301	4389.46695382373
50	02	01	4373.9212768	2	4	1											200601300043	20060130004301	4389.46695382373
50	03	01	4373.9212768	2	1												200601300043	20060130004301	4389.46695382373
50	01	01	3617.55592	1	6												200601300044	20060130004401	3617.778793259
50	01	01	4085.0577299	2	5	2	1										200601300045	20060130004501	4075.73734213041
50	02	01	4085.0577299	2	4	2	2	2	1							1	200601300045	20060130004501	4075.73734213041
50	03	01	4085.0577299	2	3	2	2	2	2	2							200601300045	20060130004501	4075.73734213041
50	04	01	4085.0577299	2	3	2	2	2	2	2							200601300045	20060130004501	4075.73734213041
50	01	01	2584.9559095	1	1												200601300046	20060130004601	2601.61850658916
50	02	01	2584.9559095	1	4	2	2	2	2	2							200601300046	20060130004601	2601.61850658916
50	03	01	2584.9559095	1	3	2	2	2	2	2							200601300046	20060130004601	2601.61850658916
50	01	01	3140.1358599	1	1												200601300047	20060130004701	3169.00444625262
50	02	01	3140.1358599	1	4	2	2	2	2	2							200601300047	20060130004701	3169.00444625262
50	01	01	1752.8552348	2	1												200601300048	20060130004801	1786.76668841541
50	02	01	1752.8552348	2	4	2	2	2	2	2							200601300048	20060130004801	1786.76668841541
50	03	01	1752.8552348	2	5	2	2	2	1							1	200601300048	20060130004801	1786.76668841541
50	04	01	1752.8552348	2	5	2	2	2	1							1	200601300048	20060130004801	1786.76668841541
50	01	01	3837.8536965	1	1												200601300049	20060130004901	3793.6637774829
50	02	01	3837.8536965	1	1												200601300049	20060130004901	3793.6637774829
50	03	01	3837.8536965	1	1												200601300049	20060130004901	3793.6637774829
50	01	01	3498.4867535	1	1												200601300050	20060130005001	3540.8952629194
50	02	01	3498.4867535	1	4	2	2	2	2	2							200601300050	20060130005001	3540.8952629194
50	03	01	3498.4867535	1	1												200601300050	20060130005001	3540.8952629194
50	04	01	3498.4867535	1	4	2	2	2	2	2							200601300050	20060130005001	3540.8952629194
50	01	01	3140.1358599	1	1												200601300051	20060130005101	3169.00444625262
50	02	01	3140.1358599	1	4	1											200601300051	20060130005101	3169.00444625262
50	01	01	3549.7295228	2	1												200601300052	20060130005201	3534.40509848195
50	02	01	3549.7295228	2	1												200601300052	20060130005201	3534.40509848195
50	03	01	3549.7295228	2	3	2	2	2	2	2							200601300052	20060130005201	3534.40509848195
50	04	01	3549.7295228	2	3	2	2	2	2	2							200601300052	20060130005201	3534.40509848195
50	05	01	3549.7295228	2	3	2	2	2	2	2							200601300052	20060130005201	3534.40509848195
50	01	01	3140.1358599	2	6												200601300053	20060130005301	3169.00444625262
50	02	01	3140.1358599	2	1												200601300053	20060130005301	3169.00444625262
50	01	01	3409.2360753	1	1												200601300054	20060130005401	3395.33431159151
50	01	01	2866.659224	3	1												200601300055	20060130005501	2915.89440173016
50	02	01	2866.659224	3	4	2	2	2	2	2							200601300055	20060130005501	2915.89440173016
50	03	01	2866.659224	3	4	2	2	2	2	2							200601300055	20060130005501	2915.89440173016
50	04	01	2866.659224	3	1												200601300055	20060130005501	2915.89440173016
50	05	01	2866.659224	3	1												200601300055	20060130005501	2915.89440173016
50	01	01	3218.2230963	2	5	1											200601300056	20060130005601	3216.57910864864
50	02	01	3218.2230963	2	4	2	2	2	2	2							200601300056	20060130005601	3216.57910864864
50	03	01	3218.2230963	2	1												200601300056	20060130005601	3216.57910864864
50	01	01	2412.3737817	2	1												200601300057	20060130005701	2474.77131976996
50	02	01	2412.3737817	2	4	2	2	2	2	2							200601300057	20060130005701	2474.77131976996
50	03	01	2412.3737817	2	5	2	2	2	2	2							200601300057	20060130005701	2474.77131976996
50	04	01	2412.3737817	2	3	2	2	2	2	2							200601300057	20060130005701	2474.77131976996
50	01	01	2588.6747822	2	5	1											200601300058	20060130005801	2603.98748557866
50	02	01	2588.6747822	2	4	2	2	2	2	2							200601300058	20060130005801	2603.98748557866
50	03	01	2588.6747822	2	3	1											200601300058	20060130005801	2603.98748557866
50	05	01	2588.6747822	2	3	2	2	2	2	2							200601300058	20060130005801	2603.98748557866
50	06	01	2588.6747822	2	3	2	2	2	2	2							200601300058	20060130005801	2603.98748557866
50	01	01	3831.4728464	2	1												200601300059	20060130005901	3818.82413028414
50	02	01	3831.4728464	2	4	2	2	2	2	2							200601300059	20060130005901	3818.82413028414
