Reg	Orden	Hogar	Fex_c	P60	P61	P61a	P62	P63	P64	P64a	Valor65a	Valor65b	Valor65c	Valor66a	Valor66b	Valor66c	Llave_viv	Llave_hog	Fex_c_2011
80	01	01	902.89091677								0	0	0	0	0	0	200601200053	20060120005301	905.833949576742
80	04	01	902.89091677	1	2	2	2				0	0	0	0	0	0	200601200053	20060120005301	905.833949576742
80	05	01	902.89091677	2				2			0	0	0	0	0	0	200601200053	20060120005301	905.833949576742
80	02	01	719.92301486	2				2			0	0	0	0	0	0	200601200054	20060120005401	720.115880685632
80	03	01	719.92301486	2				2			0	0	0	0	0	0	200601200054	20060120005401	720.115880685632
80	08	01	784.62554686								0	0	0	0	0	0	200601200055	20060120005501	783.822797761334
80	01	01	1013.4905832	1	4	0	2				0	0	0	98	0	0	200601200056	20060120005601	1026.89780109964
80	02	01	1013.4905832	1	4	0	2				0	0	0	98	0	0	200601200056	20060120005601	1026.89780109964
80	02	02	769.04713629	1	3	0	2				0	0	0	0	0	0	200601200056	20060120005602	1026.89780109964
80	01	01	710.34901796	1	4	3	2				0	0	0	0	0	0	200601200057	20060120005701	711.331926579793
80	03	01	710.34901796	2				2			0	0	0	0	0	0	200601200057	20060120005701	711.331926579793
80	04	01	710.34901796	2				2			0	0	0	0	0	0	200601200057	20060120005701	711.331926579793
80	05	01	710.34901796	2				2			0	0	0	0	0	0	200601200057	20060120005701	711.331926579793
80	01	01	974.84887275	1	4	1	2				0	0	381500	0	0	0	200601200058	20060120005801	976.311485437367
80	01	01	516.86387279								0	0	0	0	0	0	200601200059	20060120005901	515.779083525388
80	03	01	516.86387279	2				2			0	0	0	0	0	0	200601200059	20060120005901	515.779083525388
80	05	01	516.86387279	2				2			0	0	0	0	0	0	200601200059	20060120005901	515.779083525388
80	02	01	775.91051818	1	3	3	2				0	0	0	0	0	0	200601200060	20060120006001	777.733960412331
80	03	01	711.59218537	2				2			0	0	0	0	0	0	200601200064	20060120006401	712.666790564835
80	03	01	659.35963696	2				2			0	0	0	0	0	0	200601200065	20060120006501	660.066742643082
80	04	01	659.35963696	2				2			0	0	0	0	0	0	200601200065	20060120006501	660.066742643082
80	05	01	659.35963696	2				2			0	0	0	0	0	0	200601200065	20060120006501	660.066742643082
80	03	01	742.2718542	1	1	2	2				0	0	0	0	0	0	200601200067	20060120006701	743.271299483587
80	03	01	565.31785531	1	1	8	2				0	0	0	0	0	0	200601200068	20060120006801	564.597726273307
80	01	01	822.63178246	2				2			0	0	0	0	0	0	200601200070	20060120007001	824.981086582844
80	01	01	612.15003073								0	0	0	0	0	0	200601200073	20060120007301	613.805951896779
80	02	01	612.15003073	1	4	4	2				0	0	0	0	0	0	200601200073	20060120007301	613.805951896779
80	04	01	612.15003073	1	2	4	1		1	09	0	0	0	0	0	0	200601200073	20060120007301	613.805951896779
80	02	01	528.04398685	2				2			0	0	0	0	0	0	200601200074	20060120007401	527.309343766109
80	02	01	694.86300324	1	2	6	2				0	0	0	0	0	0	200601200075	20060120007501	695.643872271632
80	04	01	759.22266608	2				2			0	0	0	0	0	0	200601200076	20060120007601	762.837609029871
80	03	01	759.00103633	2				2			0	0	0	0	0	0	200601200077	20060120007701	760.29421777679
80	02	01	881.762865	1	4	5	2				0	140000	381500	0	0	0	200601200078	20060120007801	880.374593923114
80	04	01	881.762865	1	4	0	2				0	0	0	98	0	0	200601200078	20060120007801	880.374593923114
80	03	01	588.45285198	2				2			0	0	0	0	0	0	200601200079	20060120007901	589.500975847013
80	01	01	523.5802484	1	4	4	2				0	0	0	0	0	0	200601200080	20060120008001	520.332866533478
80	08	01	523.5802484	1	1	8	2				0	0	0	0	0	0	200601200080	20060120008001	520.332866533478
80	11	01	523.5802484								0	0	0	0	0	0	200601200080	20060120008001	520.332866533478
80	02	01	717.77637017	1	4	3	2				0	0	0	0	0	0	200601200084	20060120008401	718.003730592257
80	02	01	818.99988665	1	4	3	2				0	0	0	0	0	0	200601200085	20060120008501	821.13891629667
80	02	01	717.77637017	2				2			0	0	0	0	0	0	200601200086	20060120008601	718.003730592257
80	02	01	812.81570184	2				2			0	0	0	0	0	0	200601200088	20060120008801	815.801976269249
80	01	01	765.18522113	1	3	8	1		2	07	0	1500000	0	0	0	0	200601200089	20060120008901	765.631157804212
80	03	01	736.0876694	2				2			0	0	0	0	0	0	200601200090	20060120009001	737.934359456166
80	04	01	736.0876694	2				2			0	0	0	0	0	0	200601200090	20060120009001	737.934359456166
80	02	01	784.59104985	1	3	8	1		2	08	0	0	0	0	0	0	200601200091	20060120009101	788.075693953664
80	01	01	809.6317683	2				2			0	500000	0	0	0	0	200601200093	20060120009301	810.416881713895
80	02	01	569.48455506	1	2	3	2				0	0	0	0	0	0	200601200094	20060120009401	564.099452898866
80	07	01	569.48455506								0	0	0	600000	0	0	200601200094	20060120009401	564.099452898866
80	02	01	682.27300389	2				1	1	09	0	0	0	50000	0	0	200601200095	20060120009501	682.426600963707
80	04	01	682.27300389	2				2			0	0	0	0	0	0	200601200095	20060120009501	682.426600963707
80	02	01	818.99988665								0	0	0	0	0	0	200601200096	20060120009601	821.13891629667
80	02	01	694.86300324	2				2			0	0	0	0	0	0	200601200097	20060120009701	695.643872271632
80	01	01	845.69731665	2				2			0	0	381500	0	0	0	200601200098	20060120009801	845.395737818504
80	03	01	688.45718869	2				2			0	0	0	0	0	0	200601200099	20060120009901	687.763540991129
80	04	01	639.49359876	1	4	0	2				0	0	0	0	0	0	200601200101	20060120010101	640.970573345142
80	03	01	795.0889697	2				2			0	0	0	0	0	0	200601200102	20060120010201	796.449828668828
80	01	01	724.06252757	1	4	3	2				0	0	0	0	0	0	200601200104	20060120010401	726.09076394725
80	02	01	724.06252757	1	4	4	2				0	0	0	98	0	0	200601200104	20060120010401	726.09076394725
80	02	01	712.58973538	1	1	2	2				0	0	0	0	0	0	200601200105	20060120010501	714.996019872052
80	03	01	765.40685088	2				2			0	0	0	0	0	0	200601200106	20060120010601	768.174549057293
80	02	01	635.86170294	2				2			0	0	0	0	0	0	200601200107	20060120010701	637.128403058969
80	03	01	635.86170294	2				2			0	0	0	0	0	0	200601200107	20060120010701	637.128403058969
80	01	01	697.03743223	1	3	4	1		2	08	0	0	0	0	0	0	200601200108	20060120010801	698.937045261855
80	01	01	741.83945437	1	4	0	2				0	98	0	98	0	0	200601200109	20060120010901	740.747611135134
80	01	01	762.22291733	1	4	0	2				0	0	0	98	0	0	200601200110	20060120011001	762.78945450194
80	02	01	806.63151704	1	1	3	2				0	0	0	0	0	0	200601200111	20060120011101	810.465036241827
