Reg	Orden	Hogar	Fex_c	P24	P26	P27	P26n	P27a	P27bi	P27bii	Valor28	P29	Valor29	P30	Valor30	P30a	Valor30a	P30b	Valor30b	Valor31	Valor31a	Valor32a	Valor32b	Valor33a	Valor33b	Valor33c	P33a	P33b	P33c	P33d	P33e	Llave_viv	Llave_hog	Fex_c_2011
60	01	01	3913.2340688	60	01	4	0121	2			360000	1	98	1	98	2		2				0	0	0	0	0	1	2		2		200601300027	20060130002701	3915.32086805225
60	01	01	3486.4908495	62	01	4	0121	1	1		408000	1	98	2		2		2				0	0	0	0	0	1	1	1	1	1	200601300028	20060130002801	3491.72327783302
60	01	01	3844.0913503	61	01	5	0118													98	98	0	0	0	0	0	2			2		200601300029	20060130002901	3855.96712733129
60	04	01	3844.0913503	62	01	7	0118															0	0	0	0	0	2			2		200601300029	20060130002901	3855.96712733129
60	01	01	2964.1374339	61	01	5	0111													98	98	0	0	0	0	0	1	2		2		200601300030	20060130003001	2987.63771812612
60	03	01	2964.1374339	62	01	7	0111															0	0	0	0	0	1	2		2		200601300030	20060130003001	2987.63771812612
60	01	01	4199.4695464	99	50	5	5020													98	240000	0	0	0	0	0	1	2		2		200601300032	20060130003201	4187.34281054345
60	01	01	3564.3465017	99	45	1	4521	2			240000	2		2		2		2				0	0	0	0	0	1	2		2		200601300033	20060130003301	3610.58686621478
60	01	01	2755.7854275	61	01	5	0111													98	250000	0	0	0	0	0	1	2		2		200601300034	20060130003401	2790.79064276027
60	01	01	3268.6683529	61	01	5	0111													2500000	200000	0	0	0	0	0	1	2		2		200601300035	20060130003501	3313.04479142153
60	02	01	3268.6683529	62	01	7	0111															0	0	0	0	0	1	2		2		200601300035	20060130003501	3313.04479142153
60	02	01	4690.5826451	99	50	5	5020													98	200000	0	0	0	0	0	2			2		200601300036	20060130003601	4691.91298545338
60	03	01	4690.5826451	99	50	5	5020													98	150000	0	0	0	0	0	2			2		200601300036	20060130003601	4691.91298545338
60	01	01	3791.4758068	61	01	5	0111													98	100000	0	0	0	0	0	2			2		200601300037	20060130003701	3826.3324345171
60	01	01	4183.0044026	99	50	5	5020													2000000	200000	0	0	0	0	0	2			2		200601300038	20060130003801	4141.61049484455
60	01	01	4053.7418106	99	50	5	5020													1500000	120000	0	0	0	0	0	1	2		2		200601300039	20060130003901	4066.89651578027
60	01	01	4116.3939001	61	01	5	0115													98	98	0	0	0	0	0	1	2		2		200601300040	20060130004001	4099.60857512654
60	03	01	5113.0411562	61	01	5	0113													98	98	0	0	0	0	0	1	2		2		200601300041	20060130004101	5074.87435819786
60	04	01	5113.0411562	61	01	5	0113													98	98	0	0	0	0	0	1	2		2		200601300041	20060130004101	5074.87435819786
60	05	01	5113.0411562	62	01	4	0118	2			98	1	98	2		2		2				0	0	0	0	0	1	2		2		200601300041	20060130004101	5074.87435819786
60	01	01	5440.9455038	61	01	5	0111													98	360000	0	0	0	0	0	1	2		2		200601300042	20060130004201	5374.70440319892
60	03	01	5440.9455038	62	01	4	0115	2			120000	1	98	1	98	2		2				0	0	0	0	0	1	2		2		200601300042	20060130004201	5374.70440319892
60	01	01	4373.9212768	61	01	5	0111													98	98	0	0	0	0	0	1	2		2		200601300043	20060130004301	4389.46695382373
60	02	01	4373.9212768	51	55	5	5530													98	98	0	0	0	0	0	1	2		2		200601300043	20060130004301	4389.46695382373
60	03	01	4373.9212768	61	01	5	0111													98	98	0	0	0	0	0	1	2		2		200601300043	20060130004301	4389.46695382373
