Reg	Orden	Hogar	Fex_c	P34	P35a	P35b	P36_1	P36_2	P36a	Llave_viv	Llave_hog	Fex_c_2011
61	01	01	747.92510355	56	2		2		007	200601200049	20060120004901	746.746375170526
61	01	01	722.14319324	48	2		2		005	200601200051	20060120005101	722.377899240471
61	01	01	813.45394111	58	2		2		120	200601200052	20060120005201	817.327099442875
61	02	01	902.89091677	30	2		2		134	200601200053	20060120005301	905.833949576742
61	03	01	902.89091677	48	2		2		000	200601200053	20060120005301	905.833949576742
61	01	01	719.92301486	19	2		2		060	200601200054	20060120005401	720.115880685632
61	04	01	719.92301486	70	2		2		360	200601200054	20060120005401	720.115880685632
61	02	01	784.62554686	18	2		2		002	200601200055	20060120005501	783.822797761334
61	04	01	784.62554686	16	2		2		000	200601200055	20060120005501	783.822797761334
61	07	01	784.62554686	50	2		2		270	200601200055	20060120005501	783.822797761334
61	03	01	1013.4905832	60	2		2		000	200601200056	20060120005601	1026.89780109964
61	01	02	769.04713629	60	1	20	2		024	200601200056	20060120005602	1026.89780109964
61	02	01	710.34901796	30	2		2		180	200601200057	20060120005701	711.331926579793
61	06	01	710.34901796	30	2		2		004	200601200057	20060120005701	711.331926579793
61	03	01	974.84887275	30	2		2		010	200601200058	20060120005801	976.311485437367
61	02	01	516.86387279	56	2		2		001	200601200059	20060120005901	515.779083525388
61	04	01	516.86387279	42	2		2		003	200601200059	20060120005901	515.779083525388
61	01	01	775.91051818	66	2		2		072	200601200060	20060120006001	777.733960412331
61	01	01	616.55743402	62	2		2		003	200601200061	20060120006101	616.004504529027
61	01	01	818.99988665	48	2		2		024	200601200062	20060120006201	821.13891629667
61	02	01	818.99988665	48	2		2		012	200601200062	20060120006201	821.13891629667
61	01	01	754.83946854	50	2		2		240	200601200063	20060120006301	755.311816004083
61	02	01	754.83946854	40	2		2		240	200601200063	20060120006301	755.311816004083
61	01	01	711.59218537	54	1	54	2		012	200601200064	20060120006401	712.666790564835
61	02	01	711.59218537	24	1	24	2		024	200601200064	20060120006401	712.666790564835
61	01	01	659.35963696	50	1	50	2		006	200601200065	20060120006501	660.066742643082
61	01	01	563.7357382	48	2		2		004	200601200066	20060120006601	561.690015702602
61	01	01	742.2718542	45	2		2		036	200601200067	20060120006701	743.271299483587
61	02	01	742.2718542	60	1	30	2		018	200601200067	20060120006701	743.271299483587
61	01	01	718.77392019	30	2		2		072	200601200069	20060120006901	720.332959899474
61	02	01	822.63178246	56	2		2		072	200601200070	20060120007001	824.981086582844
61	03	01	822.63178246	24	2		2		013	200601200070	20060120007001	824.981086582844
61	01	01	771.59103568	48	1	48	2		000	200601200071	20060120007101	773.511489084715
61	02	01	771.59103568	70	1	70	2		002	200601200071	20060120007101	773.511489084715
61	01	01	703.22161703	70	2		2		006	200601200072	20060120007201	704.273985289276
61	03	01	612.15003073	48	1	24	2		005	200601200073	20060120007301	613.805951896779
61	05	01	612.15003073	48	1	48	2		036	200601200073	20060120007301	613.805951896779
61	06	01	612.15003073	48	1	48	2		036	200601200073	20060120007301	613.805951896779
61	01	01	528.04398685	48	2		2		004	200601200074	20060120007401	527.309343766109
61	01	01	694.86300324	68	2		2		120	200601200075	20060120007501	695.643872271632
61	01	01	759.22266608	50	1	50	2		264	200601200076	20060120007601	762.837609029871
61	02	01	759.22266608	24	1	24	2		012	200601200076	20060120007601	762.837609029871
61	03	01	759.22266608	48	1	48	2		001	200601200076	20060120007601	762.837609029871
61	01	01	588.45285198	72	2		2		036	200601200079	20060120007901	589.500975847013
61	03	01	523.5802484	48	2		2		005	200601200080	20060120008001	520.332866533478
61	01	01	745.47135019	48	2		2		277	200601200081	20060120008101	744.589781421308
61	02	01	745.47135019	30	2		2		084	200601200081	20060120008101	744.589781421308
61	01	01	717.77637017	48	1	48	2		132	200601200082	20060120008201	718.003730592257
