Reg	Orden	Hogar	Fex_c	P24	P26	P26n	P27	P27a	P27bi	P27bii	Valor28	P29	Valor29	P30	Valor30	P30a	Valor30a	P30b	Valor30b	Valor31	Valor32a	Valor32b	Valor33a	Valor33b	Valor33c	P33a	P33b	P33c	P33d	P33e	Llave_viv	Llave_hog	Fex_c_2011
60	02	01	753.84191853	45	52	5269	4													400000	0	0	0	0	0	1	2		2		200601200030	20060120003001	752.982586696866
60	01	01	748.65528374	54	95	9500	4													450000	0	0	0	0	0	1	1	4	2		200601200031	20060120003101	749.974875976661
60	02	01	748.65528374	59	92	9242	4													150000	0	0	0	0	0	1	1	5	2		200601200031	20060120003101	749.974875976661
60	01	01	765.40685088	58	70	7020	1	1	2	03	425000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	200601200032	20060120003201	768.174549057293
60	02	01	765.40685088	54	95	9500	3	2			380000	1	120000	2		2		2			0	0	0	0	0	1	1	2	2		200601200032	20060120003201	768.174549057293
60	01	01	603.43318237	45	52	5269	4													0	0	0	0	0	0	1	2		2		200601200033	20060120003301	600.511042093384
60	04	01	507.73172104	98	60	6021	4													400000	0	0	0	0	0	1	1	2	1	2	200601200034	20060120003401	502.722577479303
60	01	01	628.04832356	41	51	5125	5													600000	0	0	0	0	0	1	2		2		200601200035	20060120003501	625.571908910224
60	01	01	812.81570184	89	26	2693	1	2			600000	2		2		2		2			0	0	0	0	0	1	2		2		200601200037	20060120003701	815.801976269249
60	02	01	812.81570184	54	95	9500	3	2			400000	1	130000	2		2		2			0	0	0	0	0	1	2		2		200601200037	20060120003701	815.801976269249
60	03	01	812.81570184	89	26	2693	7													150000	0	0	0	0	0	1	2		2		200601200037	20060120003701	815.801976269249
60	01	01	668.74331775	45	52	5269	4													0	0	0	0	0	0	1	2		2		200601200038	20060120003801	666.722164608224
60	02	01	668.74331775	53	55	5529	4													0	0	0	0	0	0	1	2		2		200601200038	20060120003801	666.722164608224
60	03	01	668.74331775	45	55	5529	6														0	0	0	0	0	1	2		2		200601200038	20060120003801	666.722164608224
60	01	01	711.37055562	60	01	0140	1	1	1		98	2		2		2		2			0	0	0	0	0	1	1	2	1	2	200601200039	20060120003901	710.123399311754
60	02	01	711.37055562	45	52	5269	4													98	0	0	0	0	0	1	1	5	2		200601200039	20060120003901	710.123399311754
60	01	01	818.99988665	79	52	5272	4													0	0	0	0	0	0	1	2		2		200601200040	20060120004001	821.13891629667
60	02	01	818.99988665	79	52	5272	4													0	0	0	0	0	0	1	2		2		200601200040	20060120004001	821.13891629667
60	01	01	636.30966521	59	95	9500	4													160000	0	0	0	0	0	1	2		2		200601200041	20060120004101	635.585478789789
60	01	01	665.18088442	91	21	2102	1	1	1		426000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	200601200042	20060120004201	667.368592660096
60	03	01	727.02483136	79	18	1810	1	1	2	12	426000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	200601200043	20060120004301	728.932467249523
60	01	01	570.72611984	55	80	8043	1	1	1		426000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	200601200044	20060120004401	570.148828246593
60	02	01	570.72611984	98	60	6021	4													180000	0	0	0	0	0	1	2		2		200601200044	20060120004401	570.148828246593
60	02	01	703.22161703	79	18	1810	1	2			426000	2		2		2		2			0	0	0	0	0	1	2		2		200601200045	20060120004501	704.273985289276
60	02	01	658.77506987	99	51	5155	4													60000	0	0	0	0	0	1	2		2		200601200046	20060120004601	659.488261379594
60	01	01	699.58972122	45	52	5269	4													250000	0	0	0	0	0	2			2		200601200047	20060120004701	700.431815003103
60	01	01	765.18522113	41	52	5225	4													300000	0	0	0	0	0	1	2		2		200601200048	20060120004801	765.631157804212
