Reg	Orden	Hogar	Fex_c	P37	P37a	Valor38	P39	P40	P41	P42	P43	P44	P45	P46a	P46b	P46c	P46d	P46e	P46f	P46g	P46h	P46i	P47	P48	Llave_viv	Llave_hog	Fex_c_2011
62	01	01	699.58972122	2				2					2												200601200047	20060120004701	700.431815003103
62	01	01	765.18522113	2				2					2												200601200048	20060120004801	765.631157804212
62	01	01	747.92510355	2				2					2												200601200049	20060120004901	746.746375170526
62	01	01	722.14319324	2				2					2												200601200051	20060120005101	722.377899240471
62	01	01	813.45394111	2				2					2												200601200052	20060120005201	817.327099442875
62	02	01	902.89091677	2				2					2												200601200053	20060120005301	905.833949576742
62	03	01	902.89091677	2				2					1		1		1						2	1	200601200053	20060120005301	905.833949576742
62	01	01	719.92301486	2				1	40	1	1	2													200601200054	20060120005401	720.115880685632
62	04	01	719.92301486	2				2					2												200601200054	20060120005401	720.115880685632
62	02	01	784.62554686	2				2					1		1								2	1	200601200055	20060120005501	783.822797761334
62	04	01	784.62554686	2				2					2												200601200055	20060120005501	783.822797761334
62	07	01	784.62554686	2				2					2												200601200055	20060120005501	783.822797761334
62	03	01	1013.4905832	2				2					1		1								1	1	200601200056	20060120005601	1026.89780109964
62	01	02	769.04713629	2				2					1								1		2	1	200601200056	20060120005602	1026.89780109964
62	02	01	710.34901796	2				2					2												200601200057	20060120005701	711.331926579793
62	06	01	710.34901796	2				2					2												200601200057	20060120005701	711.331926579793
62	03	01	974.84887275	2				2					1		1								1	1	200601200058	20060120005801	976.311485437367
62	02	01	516.86387279	2				2					2												200601200059	20060120005901	515.779083525388
62	04	01	516.86387279	2				2					2												200601200059	20060120005901	515.779083525388
62	01	01	775.91051818	2				2					1		1								1	1	200601200060	20060120006001	777.733960412331
62	01	01	616.55743402	2				2					2												200601200061	20060120006101	616.004504529027
62	01	01	818.99988665	2				2					2												200601200062	20060120006201	821.13891629667
62	02	01	818.99988665	2				2					2												200601200062	20060120006201	821.13891629667
62	01	01	754.83946854	2				2					2												200601200063	20060120006301	755.311816004083
62	02	01	754.83946854	2				2					2												200601200063	20060120006301	755.311816004083
62	01	01	711.59218537	2				2					2												200601200064	20060120006401	712.666790564835
62	02	01	711.59218537	2				2					1		1								2	1	200601200064	20060120006401	712.666790564835
62	01	01	659.35963696	2				1	15	1	1	2													200601200065	20060120006501	660.066742643082
62	01	01	563.7357382	2				2					1		1				1		1		2	1	200601200066	20060120006601	561.690015702602
62	01	01	742.2718542	2				2					1		1								1	1	200601200067	20060120006701	743.271299483587
62	02	01	742.2718542	2				2					1	1	1								1	1	200601200067	20060120006701	743.271299483587
62	01	01	718.77392019	2				2					1		1								1	1	200601200069	20060120006901	720.332959899474
62	02	01	822.63178246	2				2					2												200601200070	20060120007001	824.981086582844
62	03	01	822.63178246	2				2					1		1								1	1	200601200070	20060120007001	824.981086582844
62	01	01	771.59103568	2				2					1		1								1	1	200601200071	20060120007101	773.511489084715
62	02	01	771.59103568	2				2					2												200601200071	20060120007101	773.511489084715
62	01	01	703.22161703	2				2					2												200601200072	20060120007201	704.273985289276
62	03	01	612.15003073	2				2					2												200601200073	20060120007301	613.805951896779
62	05	01	612.15003073	2				2					2												200601200073	20060120007301	613.805951896779
62	06	01	612.15003073	2				2					2												200601200073	20060120007301	613.805951896779
62	01	01	528.04398685	2				2					2												200601200074	20060120007401	527.309343766109
62	01	01	694.86300324	2				2					2												200601200075	20060120007501	695.643872271632
62	01	01	759.22266608	2				2					2												200601200076	20060120007601	762.837609029871
62	02	01	759.22266608	2				2					2												200601200076	20060120007601	762.837609029871
62	03	01	759.22266608	2				2					2												200601200076	20060120007601	762.837609029871
62	01	01	588.45285198	2				2					2												200601200079	20060120007901	589.500975847013
62	03	01	523.5802484	2				1	15	1	1	1			1		1						1	1	200601200080	20060120008001	520.332866533478
62	01	01	745.47135019	2				2					2												200601200081	20060120008101	744.589781421308
62	02	01	745.47135019	2				2					2												200601200081	20060120008101	744.589781421308
62	01	01	717.77637017	1	6		15	2					2												200601200082	20060120008201	718.003730592257
62	02	01	717.77637017	1	4	100000	0	1	10	2	1	1			1								2	1	200601200082	20060120008201	718.003730592257
62	01	01	784.59104985	2				2					2												200601200083	20060120008301	788.075693953664
62	02	01	784.59104985	2				2					2												200601200083	20060120008301	788.075693953664
62	03	01	784.59104985	2				2					2												200601200083	20060120008301	788.075693953664
62	01	01	717.77637017	2				2					2												200601200084	20060120008401	718.003730592257
62	01	01	818.99988665	2				2					2												200601200085	20060120008501	821.13891629667
62	01	01	717.77637017	2				2					2												200601200086	20060120008601	718.003730592257
62	01	01	671.36506923	2				2					1	1	1								2	1	200601200087	20060120008701	672.705532687518
62	01	01	812.81570184	2				2					1								1		1	1	200601200088	20060120008801	815.801976269249
62	02	01	765.18522113	2				2					2												200601200089	20060120008901	765.631157804212
62	01	01	736.0876694	2				2					1				1						1	1	200601200090	20060120009001	737.934359456166
62	02	01	736.0876694	2				2					2												200601200090	20060120009001	737.934359456166
62	01	01	784.59104985	2				2					1		1		1						1	1	200601200091	20060120009101	788.075693953664
62	03	01	784.59104985	2				2					1	1	1		1						1	1	200601200091	20060120009101	788.075693953664
62	01	01	830.12945105	2				1	48	1	1	1			1								1	1	200601200092	20060120009201	833.40337582594
62	02	01	830.12945105	2				2					1		1		1						1	1	200601200092	20060120009201	833.40337582594
62	03	01	830.12945105	2				2					2												200601200092	20060120009201	833.40337582594
62	04	01	830.12945105	2				2					1		1		1						1	1	200601200092	20060120009201	833.40337582594
62	06	01	830.12945105	2				2					1		1								1	1	200601200092	20060120009201	833.40337582594
62	02	01	809.6317683	2				2					2												200601200093	20060120009301	810.416881713895
62	01	01	569.48455506	2				2					2												200601200094	20060120009401	564.099452898866
62	08	01	569.48455506	2				2					1		1		1						2	1	200601200094	20060120009401	564.099452898866
62	01	01	682.27300389	2				1	30	1	1	1		1	1						1		1	1	200601200095	20060120009501	682.426600963707
62	01	01	818.99988665	2				2					1		1						1		2	1	200601200096	20060120009601	821.13891629667
62	01	01	694.86300324	2				2					2												200601200097	20060120009701	695.643872271632
62	03	01	694.86300324	2				2					2												200601200097	20060120009701	695.643872271632
62	02	01	845.69731665	2				2					2												200601200098	20060120009801	845.395737818504
62	03	01	845.69731665	2				2					2												200601200098	20060120009801	845.395737818504
62	01	01	688.45718869	2				2					2												200601200099	20060120009901	687.763540991129
62	02	01	688.45718869	2				2					2												200601200099	20060120009901	687.763540991129
62	01	01	765.18522113	2				2					2												200601200100	20060120010001	765.631157804212
62	02	01	765.18522113	2				2					1		1								1	1	200601200100	20060120010001	765.631157804212
62	01	01	639.49359876	2				2					2												200601200101	20060120010101	640.970573345142
62	03	01	639.49359876	2				2					2												200601200101	20060120010101	640.970573345142
62	01	01	795.0889697	2				2					1		1								2	1	200601200102	20060120010201	796.449828668828
62	05	01	795.0889697	2				2					2												200601200102	20060120010201	796.449828668828
62	01	01	765.18522113	2				2					2												200601200103	20060120010301	765.631157804212
62	02	01	765.18522113	2				2					2												200601200103	20060120010301	765.631157804212
62	03	01	724.06252757	2				2					2												200601200104	20060120010401	726.09076394725
62	04	01	724.06252757	2				2					1		1								2	1	200601200104	20060120010401	726.09076394725
62	01	01	712.58973538	2				2					1		1					1			1	1	200601200105	20060120010501	714.996019872052
62	01	01	765.40685088	2				2					1		1		1						1	1	200601200106	20060120010601	768.174549057293
62	01	01	635.86170294	2				2					1		1		1						1	1	200601200107	20060120010701	637.128403058969
62	02	01	697.03743223	2				2					2												200601200108	20060120010801	698.937045261855
62	03	01	697.03743223	2				1	45	2	1	1									1		2	1	200601200108	20060120010801	698.937045261855
62	02	01	762.22291733	2				2					2												200601200110	20060120011001	762.78945450194
62	01	01	806.63151704	2				2					2												200601200111	20060120011101	810.465036241827
62	03	01	806.63151704	2				2					2												200601200111	20060120011101	810.465036241827
62	01	01	759.00103633	2				2					1				1						1	1	200601200112	20060120011201	760.29421777679
62	02	01	759.00103633	2				2					2												200601200112	20060120011201	760.29421777679
62	01	01	809.6317683	2				2					2												200601200113	20060120011301	810.416881713895
62	02	01	809.6317683	2				2					2												200601200113	20060120011301	810.416881713895
62	01	01	765.18522113	2				2					2												200601200115	20060120011501	765.631157804212
62	02	01	765.18522113	2				2					2												200601200115	20060120011501	765.631157804212
62	01	01	776.31478554	2				2					2												200601200116	20060120011601	777.895617333482
62	02	01	776.31478554	2				1	20	1	1	1			1		1						1	1	200601200116	20060120011601	777.895617333482
62	07	01	776.31478554	2				2					2												200601200116	20060120011601	777.895617333482
62	01	01	759.00103633	2				2					1		1		1						1	1	200601200117	20060120011701	760.29421777679
62	03	01	839.51313185	2				2					2												200601200118	20060120011801	840.058797791082
62	01	01	628.04832356	2				2					2												200601200120	20060120012001	625.571908910224
62	01	01	734.86848964	2				2					2												200601200121	20060120012101	733.061738895868
62	01	01	688.45718869	2				2					2												200601200122	20060120012201	687.763540991129
62	01	01	634.86415293	2				2					2												200601200123	20060120012301	634.799173751752
62	01	01	474.22932134	2				2					2												200601200124	20060120012401	471.80158527365
62	01	01	771.59103568	2				2					2												200601200126	20060120012601	773.511489084715
62	01	01	813.26366411	2				2					1		1		1				1		2	9	200601200127	20060120012701	814.259052000068
62	01	01	700.22136578	2				2					2												200601200128	20060120012801	704.322139817208
62	02	01	700.22136578	2				2					2												200601200128	20060120012801	704.322139817208
62	02	01	544.67589684	2				2					2												200601200130	20060120013001	595.453238936026
62	02	02	754.27431836	2				2					2												200601200130	20060120013002	595.453238936026
62	01	01	712.58973538	2				2					2												200601200131	20060120013101	714.996019872052
62	01	01	742.47109893	2				2					2												200601200132	20060120013201	744.637935949239
62	01	01	618.11258578	2				2					2												200601200133	20060120013301	616.59950067112
62	03	01	618.11258578	2				2					1	1	1								2	1	200601200133	20060120013301	616.59950067112
62	02	01	713.03769766	2				2					2												200601200134	20060120013401	713.453095602872
62	01	01	675.45717452	2				2					2												200601200136	20060120013601	673.19933612218
62	02	01	675.45717452	2				2					1				1						1	1	200601200136	20060120013601	673.19933612218
62	01	01	641.04833773	2				2					2												200601200137	20060120013701	640.136113779174
62	02	01	641.04833773	2				2					2												200601200137	20060120013701	640.136113779174
62	01	01	703.22161703	2				2					2												200601200138	20060120013801	704.273985289276
62	01	01	806.63151704	2				2					2												200601200139	20060120013901	810.465036241827
62	02	01	806.63151704	2				2					2												200601200139	20060120013901	810.465036241827
62	03	01	806.63151704	2				2					1		1		1						1	1	200601200139	20060120013901	810.465036241827
62	04	01	806.63151704	2				2					1				1			1			1	1	200601200139	20060120013901	810.465036241827
62	01	01	717.77637017	2				2					1		1								2	1	200601200140	20060120014001	718.003730592257
62	01	01	717.77637017	2				2					1		1		1						2	1	200601200141	20060120014101	718.003730592257
62	01	01	717.77637017	2				2					1		1								1	1	200601200142	20060120014201	718.003730592257
62	01	01	488.58982286	2				2					2												200601200143	20060120014301	486.730109460224
62	02	01	488.58982286	2				2					2												200601200143	20060120014301	486.730109460224
62	03	01	846.32896121	1	4	120000	20	2					2												200601200144	20060120014401	849.28606263261
62	06	01	846.32896121	2				2					2												200601200144	20060120014401	849.28606263261
62	01	01	620.63706512	2				2					2												200601200145	20060120014501	623.966325612333
62	01	01	765.18522113	2				2					2												200601200146	20060120014601	765.631157804212
62	02	01	765.18522113	2				2					2												200601200146	20060120014601	765.631157804212
62	02	01	742.2718542	2				2					2												200601200147	20060120014701	743.271299483587
62	01	01	677.18334857	2				2					2												200601200148	20060120014801	679.603568221828
62	02	01	677.18334857	2				2					2												200601200148	20060120014801	679.603568221828
62	06	01	677.18334857	2				2					2												200601200148	20060120014801	679.603568221828
62	01	01	576.73575237	2				2					2												200601200150	20060120015001	576.254220571551
62	01	01	700.22136578	2				1	40	1	1	1			1						1		1	1	200601200151	20060120015101	704.322139817208
62	01	01	1472.1753388	2				2					2												200601200154	20060120015401	1475.86871891233
62	02	01	1472.1753388	2				2					2												200601200154	20060120015401	1475.86871891233
62	04	01	1472.1753388	2				2					2												200601200154	20060120015401	1475.86871891233
62	01	01	1518.0020727	2				2					2												200601200155	20060120015501	1520.58843555358
62	03	01	1518.0020727	2				2					2												200601200155	20060120015501	1520.58843555358
62	01	01	1350.914349	2				2					1	1			1						1	1	200601200158	20060120015801	1346.39867224436
62	01	01	1350.914349	2				2					2												200601200159	20060120015901	1346.39867224436
62	02	01	1350.914349	2				2					2												200601200159	20060120015901	1346.39867224436
62	01	01	1363.7259782	2				2					2												200601200160	20060120016001	1362.15933480537
62	01	01	1259.3550363	2				2					1		1		1						2	1	200601200161	20060120016101	1263.58292606309
62	02	01	1259.3550363	2				1	48	1	1	1			1						1		1	1	200601200161	20060120016101	1263.58292606309
62	01	01	1340.7350384	2				2					1		1						1		2	1	200601200162	20060120016201	1340.7526067606
62	02	01	1458.5436801	2				2					2												200601200163	20060120016301	1457.41418922928
62	01	01	1223.4583125	2				2					2												200601200164	20060120016401	1219.79184835609
62	02	01	1223.4583125	2				2					2												200601200164	20060120016401	1219.79184835609
62	01	01	812.81570184	2				2					2												200601200165	20060120016501	815.801976269249
62	02	01	812.81570184	2				2					2												200601200165	20060120016501	815.801976269249
62	02	01	955.29140146	2				2					2												200601200166	20060120016601	956.923728798477
62	04	01	955.29140146	2				2					2												200601200166	20060120016601	956.923728798477
62	03	01	858.69733082	2				2					2												200601200167	20060120016701	859.959942687453
62	01	01	752.40683671	2				2					2												200601200168	20060120016801	753.610344188344
62	01	01	617.55040371	2				1	24	1	1	1			1		1				1		1	1	200601200169	20060120016901	617.19777419506
62	01	01	818.99988665	2				2					2												200601200170	20060120017001	821.13891629667
62	01	01	805.99987248	2				2					2												200601200171	20060120017101	806.574711427722
62	01	01	736.0876694	2				2					1		1								2	1	200601200172	20060120017201	737.934359456166
62	02	01	736.0876694	2				2					2												200601200172	20060120017201	737.934359456166
62	02	01	588.23122223	2				2					2												200601200173	20060120017301	586.957584593932
62	01	01	714.17698446	2				2					2												200601200174	20060120017401	712.423055295609
62	02	01	685.9048997	2				2					1		1						1		1	1	200601200175	20060120017501	686.268771249881
62	02	01	726.03771182	1	3	30000	16	2					1		1		1						2	1	200601200176	20060120017601	728.017300471821
62	01	01	771.59103568	2				2					2												200601200177	20060120017701	773.511489084715
62	02	01	771.59103568	2				2					2												200601200177	20060120017701	773.511489084715
62	01	01	771.59103568	2				2					2												200601200178	20060120017801	773.511489084715
62	02	01	771.59103568	2				2					2												200601200178	20060120017801	773.511489084715
62	01	01	671.9272513	2				2					2												200601200179	20060120017901	672.107259163578
62	03	01	671.9272513	2				1	42	1	1	1		1	1								1	1	200601200179	20060120017901	672.107259163578
62	01	01	656.37494814	2				1	60	1	1	1			1						1		1	1	200601200183	20060120018301	656.048284553381
62	02	01	656.37494814	2				2					2												200601200183	20060120018301	656.048284553381
62	03	01	656.37494814	2				2					2												200601200183	20060120018301	656.048284553381
62	01	01	736.0876694	2				2					2												200601200184	20060120018401	737.934359456166
62	02	01	736.0876694	2				2					2												200601200184	20060120018401	737.934359456166
62	01	01	675.45717452	2				2					2												200601200185	20060120018501	673.19933612218
62	02	01	675.45717452	2				1	08	1	1	1			1						1		1	1	200601200185	20060120018501	673.19933612218
62	02	01	707.43061758	2				2					2												200601200186	20060120018601	707.684388792127
62	01	01	777.33985254	2				2					2												200601200187	20060120018701	775.92092628098
62	03	01	777.33985254	2				2					2												200601200187	20060120018701	775.92092628098
62	05	01	777.33985254	2				2					2												200601200187	20060120018701	775.92092628098
62	06	01	777.33985254	2				2					1		1								1	1	200601200187	20060120018701	775.92092628098
62	01	01	564.32030529	2				2					2												200601200188	20060120018801	562.26849696609
62	01	01	818.99988665	2				2					2												200601200189	20060120018901	788.539924064964
62	02	01	818.99988665	2				2					2												200601200189	20060120018901	788.539924064964
62	01	02	741.83945437	2				2					2												200601200189	20060120018902	788.539924064964
62	01	03	629.04587358	2				2					2												200601200189	20060120018903	788.539924064964
62	01	04	741.83945437	2				2					1								1		1	1	200601200189	20060120018904	788.539924064964
62	01	05	681.86298908	2				2					2												200601200189	20060120018905	788.539924064964
62	01	01	700.22136578	2				2					2												200601200190	20060120019001	704.322139817208
62	02	01	700.22136578	2				2					2												200601200190	20060120019001	704.322139817208
62	01	01	778.81687986	2				2					2												200601200191	20060120019101	784.085687487267
62	05	01	778.81687986	2				2					2												200601200191	20060120019101	784.085687487267
62	09	01	352.88695301	2				2					2												200601200192	20060120019201	352.884377515262
62	01	01	676.08881908	2				2					1		1								2	1	200601200193	20060120019301	677.089660936286
62	03	01	676.08881908	2				2					2												200601200193	20060120019301	677.089660936286
62	04	01	676.08881908	2				1	30	2	1	1			1						1		2	1	200601200193	20060120019301	677.089660936286
62	02	01	765.18522113	2				2					1				1						1	1	200601200195	20060120019501	875.664379042936
62	01	02	812.81570184	2				2					2												200601200195	20060120019502	875.664379042936
62	02	02	812.81570184	2				2					2												200601200195	20060120019502	875.664379042936
62	01	01	818.99988665	2				2					2												200601200196	20060120019601	821.13891629667
62	01	01	754.83946854	2				2					2												200601200197	20060120019701	755.311816004083
62	02	01	711.37055562	2				2					1		1		1						2	1	200601200198	20060120019801	710.123399311754
62	01	01	717.77637017	2				1	60	1	1	1			1		1						1	1	200601200199	20060120019901	621.85125825098
62	01	02	581.63702262	2				1	10	1	1	1		1	1						1		1	1	200601200199	20060120019902	621.85125825098
62	01	03	724.18218472	2				2					1		1		1						2	1	200601200199	20060120019903	621.85125825098
62	01	04	712.58973538	2				2					2												200601200199	20060120019904	621.85125825098
62	02	04	712.58973538	2				2					2												200601200199	20060120019904	621.85125825098
62	01	01	765.18522113	2				2					2												200601200200	20060120020001	637.677718852126
62	02	01	765.18522113	2				2					2												200601200200	20060120020001	637.677718852126
62	01	03	705.18637082	2				2					1				1				1		2	1	200601200200	20060120020003	637.677718852126
62	01	01	742.2718542	2				2					1		1								1	1	200601200201	20060120020101	743.271299483587
62	02	01	742.2718542	2				2					1		1								1	1	200601200201	20060120020101	743.271299483587
62	01	01	711.37055562	2				2					2												200601200202	20060120020201	710.123399311754
62	02	01	711.37055562	2				2					2												200601200202	20060120020201	710.123399311754
62	01	01	665.54382176	2				2					2												200601200203	20060120020301	665.403682670504
62	02	01	665.54382176	2				2					2												200601200203	20060120020301	665.403682670504
62	03	01	665.54382176	2				2					2												200601200203	20060120020301	665.403682670504
62	02	01	667.04836606	2				2					2												200601200205	20060120020501	669.264523517072
62	01	01	688.67881844	2				2					1		1								1	1	200601200206	20060120020601	690.30693224421
62	02	01	579.08473363	2				2					2												200601200207	20060120020701	578.778941264238
62	01	01	688.45718869	2				2					1		1		1				1		2	1	200601200208	20060120020801	687.763540991129
62	02	01	688.45718869	2				1	48	2	1	1									1		2	1	200601200208	20060120020801	687.763540991129
62	01	01	651.0860481	2				2					2												200601200209	20060120020901	651.85861534585
62	01	01	799.81568767	2				2					1								1		2	1	200601200210	20060120021001	801.2377714003
62	02	01	799.81568767	2				2					2												200601200210	20060120021001	801.2377714003
62	01	01	771.59103568	2				1	10	1	1	2													200601200211	20060120021101	773.511489084715
62	01	01	593.63948677	2				2					2												200601200212	20060120021201	592.508686567218
62	03	01	593.63948677	2				2					1	1	1				1				2	1	200601200212	20060120021201	592.508686567218
