Reg	Orden	Hogar	Fex_c	P49	P50	P51	P52	P52a	P53	P54	P55	P56	P57	P56n	P57a	Valor58a	Valor58b	Valor58c	Valor59a	Valor59b	Valor59c	Llave_viv	Llave_hog	Fex_c_2011
70	03	01	681.83107593	52	48	58	1	01	1							0	0	0	0	0	0	200601300630	20060130063001	683.747252094654
70	01	01	925.70125364	4	48	95	5	01	2	4	95	45	5	4521	8	98	0	0	0	0	0	200601300631	20060130063101	940.777265221931
70	02	01	925.70125364	4	48	59	5	02	2	4	59	85	5	8532	8	98	0	0	0	0	0	200601300631	20060130063101	940.777265221931
70	02	01	719.8651006	4	48	39	4	02	2	998	39	74	1	7499	3	0	0	0	0	0	0	200601300664	20060130066401	726.503164206944
70	05	01	534.69197246	52	48	18	1	05	1							0	0	0	0	0	0	200601300667	20060130066701	517.888100869562
70	06	01	1717.6244229	4	48	13	5	02	2	4	13	80	5	8021	8	98	0	0	0	0	0	200601300676	20060130067601	1719.46418950899
70	10	01	1717.6244229	30	48	99	1	01	2	4	99	45	1	4530	8	98	0	0	0	0	0	200601300676	20060130067601	1719.46418950899
70	03	01	1148.6090487	26	50	62	4	01	2	26	62	01	4	0111	3	0	0	0	0	0	0	200601300708	20060130070801	1147.92979133236
70	04	01	1148.6090487	4	40	62	4	01	2	4	17	92	1	9213	3	98	0	0	0	0	0	200601300708	20060130070801	1147.92979133236
70	06	01	754.89301025	1	50	54	3	09	1							0	0	0	0	0	0	200601300715	20060130071501	747.361389776203
70	03	01	888.93244891	4	70	54	3	10	2	13	54	95	3	9500	6	0	0	0	0	0	0	200601300733	20060130073301	896.410473023585
70	01	01	660.99978536	4	48	62	4	08	2	4	62	01	4	0111	8	120000	0	0	0	0	0	200601300751	20060130075101	659.95520919119
70	03	01	4404.289029	52	40	34	1	01	1							0	0	0	0	0	0	200601300783	20060130078301	4419.32707092145
70	05	01	7056.5473361	4	40	62	1	01	2	4	54	95	3	9500	8	200000	0	0	0	0	0	200601300812	20060130081201	7124.93220178201
70	02	01	6395.9725536	104	24	13	2	02	2	78	13	80	5	8012	8	0	0	0	0	0	0	200601300814	20060130081401	6465.8817202964
70	03	01	5466.205684	4	40	18	1	01	1							0	0	0	0	0	0	200601300817	20060130081701	5468.89842343259
70	05	01	6304.2251734	2	60	54	3	01	2	8	54	95	3	9500	6	0	0	0	0	0	0	200601300818	20060130081801	6258.83252914952
70	01	01	5718.3497219	2	60	77	1	05	2	2	77	15	1	1551	6	300000	0	0	0	0	0	200601300819	20060130081901	5665.21574258501
70	02	01	5601.1361101	8	40	13	1	01	2	8	13	80	1	8012	8	0	0	0	0	0	0	200601300821	20060130082101	5665.88898883427
70	03	01	4115.1588216	8	20	13	1	01	1							0	0	0	0	0	0	200601300825	20060130082501	4026.42531286579
70	01	01	1103.9221723	4	44	95	1	01	2	4	45	52	5	5269	7	0	0	0	0	0	0	200601300838	20060130083801	1098.13826936701
70	02	01	1103.9221723	4	44	95	1	05	2	8	62	01	1	0117	8	0	0	0	0	0	0	200601300838	20060130083801	1098.13826936701
70	01	01	1120.8379772	208	54	32	1	01	2	998	32	22	1	2220	7	0	0	0	600000	0	0	200601300841	20060130084101	1133.54211751868
70	03	01	1159.0728853	104	40	54	7	01	2	104	54	95	3	9500	4	0	0	0	0	0	0	200601300842	20060130084201	1314.68909954081
70	02	02	1742.7655929	52	40	55	3	01	2	998	54	95	3	9500	3	0	0	0	0	0	0	200601300842	20060130084202	1314.68909954081
