Reg	Orden	Hogar	Fex_c	P60	P61	P61a	P62	P63	P64	P64a	Valor65a	Valor65b	Valor65c	Valor66a	Valor66b	Valor66c	Llave_viv	Llave_hog	Fex_c_2011
80	02	01	3564.3465017	1	4	0	2				0	0	0	0	0	0	200601300033	20060130003301	3610.58686621478
80	02	01	2755.7854275	2				2			0	0	0	0	0	0	200601300034	20060130003401	2790.79064276027
80	03	01	2755.7854275	2				2			0	0	0	0	0	0	200601300034	20060130003401	2790.79064276027
80	04	01	2755.7854275	2				2			0	0	0	0	0	0	200601300034	20060130003401	2790.79064276027
80	01	01	4690.5826451	2				2			0	0	0	0	0	0	200601300036	20060130003601	4691.91298545338
80	04	01	4690.5826451	1	1	6	2				0	0	0	0	0	0	200601300036	20060130003601	4691.91298545338
80	02	01	3791.4758068	2				2			0	0	0	0	0	0	200601300037	20060130003701	3826.3324345171
80	02	01	4183.0044026	2				2			0	0	0	0	0	0	200601300038	20060130003801	4141.61049484455
80	02	01	4053.7418106	1	4	3	2				0	0	0	0	0	0	200601300039	20060130003901	4066.89651578027
80	01	01	5113.0411562	1	4	3	2				0	0	0	396000	0	0	200601300041	20060130004101	5074.87435819786
80	02	01	5113.0411562	2				2			0	0	0	0	0	0	200601300041	20060130004101	5074.87435819786
80	06	01	5113.0411562	2				2			0	0	0	0	0	0	200601300041	20060130004101	5074.87435819786
80	08	01	5113.0411562	2				2			0	0	0	0	0	0	200601300041	20060130004101	5074.87435819786
80	02	01	5440.9455038	2				2			0	0	0	0	0	0	200601300042	20060130004201	5374.70440319892
80	04	01	5440.9455038	2				2			0	0	0	0	0	0	200601300042	20060130004201	5374.70440319892
80	05	01	5440.9455038	2				2			0	0	0	0	0	0	200601300042	20060130004201	5374.70440319892
80	06	01	5440.9455038	2				2			0	0	0	0	0	0	200601300042	20060130004201	5374.70440319892
80	01	01	3617.55592								0	0	0	98	0	0	200601300044	20060130004401	3617.778793259
80	03	01	4085.0577299	2				2			0	0	0	0	0	0	200601300045	20060130004501	4075.73734213041
80	04	01	4085.0577299	2				2			0	0	0	0	0	0	200601300045	20060130004501	4075.73734213041
80	02	01	2584.9559095	1	4	3	2				0	0	0	0	0	0	200601300046	20060130004601	2601.61850658916
80	03	01	2584.9559095	2				2			0	0	0	0	0	0	200601300046	20060130004601	2601.61850658916
80	02	01	3140.1358599	2				2			0	0	0	0	0	0	200601300047	20060130004701	3169.00444625262
80	02	01	1752.8552348	2				2			0	0	0	0	0	0	200601300048	20060130004801	1786.76668841541
80	02	01	3498.4867535	2				2			0	0	0	0	0	0	200601300050	20060130005001	3540.8952629194
80	04	01	3498.4867535	2				2			0	0	0	0	0	0	200601300050	20060130005001	3540.8952629194
80	03	01	3549.7295228	2				2			0	0	0	0	0	0	200601300052	20060130005201	3534.40509848195
80	04	01	3549.7295228	2				2			0	0	0	0	0	0	200601300052	20060130005201	3534.40509848195
80	05	01	3549.7295228	2				2			0	0	0	0	0	0	200601300052	20060130005201	3534.40509848195
80	01	01	3140.1358599								0	0	0	98	0	0	200601300053	20060130005301	3169.00444625262
80	02	01	2866.659224	2				2			0	0	0	0	0	0	200601300055	20060130005501	2915.89440173016
80	03	01	2866.659224	2				2			0	0	0	0	0	0	200601300055	20060130005501	2915.89440173016
80	02	01	3218.2230963	2				2			0	0	0	0	0	0	200601300056	20060130005601	3216.57910864864
80	02	01	2412.3737817	2				2			0	0	0	0	0	0	200601300057	20060130005701	2474.77131976996
80	03	01	2412.3737817	2				2			0	0	0	0	0	0	200601300057	20060130005701	2474.77131976996
80	04	01	2412.3737817	2				2			0	0	0	0	0	0	200601300057	20060130005701	2474.77131976996
80	02	01	2588.6747822	1	1	1	2				0	0	0	0	0	0	200601300058	20060130005801	2603.98748557866
80	05	01	2588.6747822	2				2			0	0	0	0	0	0	200601300058	20060130005801	2603.98748557866
80	06	01	2588.6747822	2				2			0	0	0	0	0	0	200601300058	20060130005801	2603.98748557866
80	02	01	3831.4728464	2				2			0	0	0	0	0	0	200601300059	20060130005901	3818.82413028414
80	02	01	3602.6709233								0	0	0	0	0	0	200601300060	20060130006001	3609.34404618402
80	03	01	3602.6709233	2				2			0	0	0	0	0	0	200601300060	20060130006001	3609.34404618402
80	02	01	3262.6789432	2				2			0	0	0	0	0	0	200601300061	20060130006101	3220.98538309123
80	01	01	2405.5354845	2				2			0	98	0	98	0	0	200601300062	20060130006201	2498.93009737795
80	02	01	2405.5354845	1	4	5	2				0	0	0	98	0	0	200601300062	20060130006201	2498.93009737795
80	03	01	2405.5354845	2				2			0	0	0	0	0	0	200601300062	20060130006201	2498.93009737795
80	04	01	2405.5354845	2				2			0	0	0	0	0	0	200601300062	20060130006201	2498.93009737795
80	05	01	2405.5354845								0	0	0	0	0	0	200601300062	20060130006201	2498.93009737795
80	06	01	2405.5354845	2				2			0	0	0	0	0	0	200601300062	20060130006201	2498.93009737795
80	02	01	3240.9771957	2				2			0	0	0	0	0	0	200601300063	20060130006301	3242.70550238511
80	02	01	2757.5380373	2				2			0	0	0	0	0	0	200601300064	20060130006401	2728.46569340836
80	02	01	2819.9216143	2				2			0	0	0	0	0	0	200601300065	20060130006501	2812.53869220701
80	03	01	2819.9216143	2				2			60000	0	0	0	0	0	200601300065	20060130006501	2812.53869220701
80	05	01	2819.9216143	2				2			0	0	0	0	0	0	200601300065	20060130006501	2812.53869220701
80	02	01	3624.3726708	1	1	8	2				0	0	0	0	0	0	200601300066	20060130006601	3587.62392689013
80	02	01	2479.0731085	2				2			0	0	0	0	0	0	200601300067	20060130006701	2451.74061118502
80	05	01	2479.0731085	2				2			0	0	0	0	0	0	200601300067	20060130006701	2451.74061118502
80	08	01	2479.0731085	2				2			0	0	0	0	0	0	200601300067	20060130006701	2451.74061118502
80	02	01	3262.6163001	2				2			0	0	0	0	0	0	200601300068	20060130006801	3243.41912073428
80	08	01	3262.6163001	2				2			0	0	0	0	0	0	200601300068	20060130006801	3243.41912073428
80	02	01	3213.2235352	2				2			0	0	0	0	0	0	200601300069	20060130006901	3202.13546986284
80	07	01	3213.2235352	2				2			0	0	0	0	0	0	200601300069	20060130006901	3202.13546986284
80	02	01	3357.3470266	1	2	6	2				0	0	0	0	0	0	200601300071	20060130007101	3368.2418769198
80	02	01	3420.7754569	1	1	4	2				0	0	0	0	0	98	200601300072	20060130007201	3418.83930375241
80	02	01	3420.7754569	2				2			0	0	0	0	0	0	200601300074	20060130007401	3418.83930375241
80	03	01	3420.7754569	2				2			0	0	0	0	0	0	200601300074	20060130007401	3418.83930375241
80	04	01	3420.7754569	2				2			0	0	0	0	0	0	200601300074	20060130007401	3418.83930375241
80	02	01	3189.5286248	2				2			0	0	0	0	0	0	200601300075	20060130007501	3210.28809712405
80	02	01	3889.1726348	1	4	3	2				0	0	0	0	0	0	200601300076	20060130007601	3891.24660286214
80	02	01	4247.542238	2				2			0	0	0	0	0	0	200601300077	20060130007701	4279.64144545053
80	02	01	3872.8087307	2				2			0	0	0	0	0	0	200601300079	20060130007901	3845.79548299187
80	06	01	3476.9125312	2				2			0	0	0	0	0	0	200601300080	20060130008001	3474.82449801059
80	08	01	3476.9125312	2				2			0	0	0	0	0	0	200601300080	20060130008001	3474.82449801059
80	02	01	2317.1609155	2				2			0	0	0	0	0	0	200601300082	20060130008201	2295.63023162636
80	02	01	2630.7193846	1	4	3	2				0	0	0	0	0	0	200601300083	20060130008301	2651.97300339869
80	02	01	1893.7190164	2				2			0	0	0	0	0	0	200601300084	20060130008401	1904.62627475963
80	03	01	1893.7190164	1	3	4	2				0	0	0	0	0	0	200601300084	20060130008401	1904.62627475963
80	02	01	2261.7287769	1	4	3	2				0	0	0	0	0	0	200601300085	20060130008501	2251.39374031209
80	04	01	2261.7287769	2				2			0	0	0	0	0	0	200601300085	20060130008501	2251.39374031209
80	05	01	2261.7287769	2				2			0	0	0	0	0	0	200601300085	20060130008501	2251.39374031209
80	02	01	1904.640679	1	4	3	2				0	0	0	0	0	0	200601300086	20060130008601	1959.91043122608
80	04	01	1904.640679	2				2			0	0	0	0	0	0	200601300086	20060130008601	1959.91043122608
80	02	01	2092.942956	2				2			0	0	0	0	0	0	200601300087	20060130008701	2094.11114277378
80	03	01	2092.942956	2				2			0	0	0	0	0	0	200601300087	20060130008701	2094.11114277378
80	04	01	2092.942956	2				2			0	0	0	0	0	0	200601300087	20060130008701	2094.11114277378
80	02	01	4466.7433436	2				2			0	0	0	0	0	0	200601300088	20060130008801	4456.07224627431
80	03	01	4466.7433436	2				2			0	0	0	0	0	0	200601300088	20060130008801	4456.07224627431
80	08	01	4466.7433436	2				2			0	0	0	0	0	0	200601300088	20060130008801	4456.07224627431
80	02	01	4883.102621	2				2			0	0	0	0	0	0	200601300089	20060130008901	4892.41026618216
80	04	01	4883.102621	2				2			0	0	0	0	0	0	200601300089	20060130008901	4892.41026618216
80	02	01	6480.2427046	2				2			0	0	0	0	0	0	200601300090	20060130009001	6478.69489089288
80	06	01	6480.2427046	2				2			0	0	0	0	0	0	200601300090	20060130009001	6478.69489089288
80	03	01	4745.2345572	2				2			0	0	0	0	0	0	200601300091	20060130009101	4761.37643783548
80	02	01	3317.4920465	2				2			0	0	0	0	0	0	200601300093	20060130009301	3263.95154789512
80	05	01	3317.4920465	2				2			0	0	0	0	0	0	200601300093	20060130009301	3263.95154789512
80	06	01	3317.4920465	2				2			0	0	0	0	0	0	200601300093	20060130009301	3263.95154789512
80	02	01	5022.8074088	2				2			0	0	0	0	0	0	200601300094	20060130009401	5052.26845110738
80	03	01	5022.8074088	2				2			0	0	0	0	0	0	200601300094	20060130009401	5052.26845110738
80	02	01	4597.6752445	1	4	3	2				0	0	0	0	0	0	200601300095	20060130009501	4667.39090206705
80	02	01	4597.6752445	1	4	1	2				0	0	0	0	0	0	200601300096	20060130009601	4667.39090206705
80	05	01	3657.3276174	2				2			0	0	0	0	0	0	200601300098	20060130009801	3627.06440106604
80	06	01	3657.3276174	2				2			0	0	0	0	0	0	200601300098	20060130009801	3627.06440106604
