Reg	Orden	Hogar	Fex_c	P49	P50	P51	P52	P52a	P53	P54	P55	P56	P57	P56n	P57a	Valor58a	Valor58b	Valor58c	Valor59a	Valor59b	Valor59c	Llave_viv	Llave_hog	Fex_c_2011
70	02	01	771.59103568	17	48	33	1	01	2	43	45	52	1	5233	3	0	0	0	0	0	0	200601200126	20060120012601	773.511489084715
70	01	01	713.03769766	104	60	54	1	03	2	104	37	74	1	7494	4	0	0	0	98	0	0	200601200129	20060120012901	713.453095602872
70	04	01	544.67589684	52	56	58	1	14	2	52	87	36	1	3611	8	0	0	0	0	0	0	200601200130	20060120013001	595.453238936026
70	05	01	544.67589684	43	60	54	3	01	2	43	54	95	1	9500	0	0	0	0	98	0	0	200601200130	20060120013001	595.453238936026
70	01	02	754.27431836	4	48	58	1	02	2	4	58	70	1	7020	8	455700	0	0	0	0	0	200601200130	20060120013002	595.453238936026
70	05	02	754.27431836	4	48	58	1	01	2	4	98	61	1	6120	0	100000	0	0	0	0	0	200601200130	20060120013002	595.453238936026
70	02	01	712.58973538	52	48	34	1	01	1							0	0	0	0	0	0	200601200131	20060120013101	714.996019872052
70	02	01	742.47109893	52	48	81	1	10	2	52	87	36	1	3699	8	0	0	0	0	0	0	200601200132	20060120013201	744.637935949239
70	04	01	618.11258578	43	48	39	1	02	2	43	39	74	1	7499	6	0	0	0	100000	0	0	200601200133	20060120013301	616.59950067112
70	03	01	641.04833773	52	48	79	1	06	2	104	79	18	1	1810	3	0	0	0	98	0	0	200601200137	20060120013701	640.136113779174
70	02	01	717.77637017	52	48	79	1	01	2	998	55	60	1	6021	8	0	0	0	0	0	0	200601200141	20060120014101	718.003730592257
70	02	01	620.63706512	2	48	79	1	02	2	2	79	18	1	1810	8	450000	0	0	0	0	0	200601200145	20060120014501	623.966325612333
70	04	01	620.63706512	2	48	42	1	06	2	2	42	52	1	5219	8	450000	0	0	0	0	0	200601200145	20060120014501	623.966325612333
70	01	01	742.2718542	52	48	54	1	09	2	998	37	85	1	8512	7	0	0	0	0	0	0	200601200147	20060120014701	743.271299483587
70	03	01	742.2718542	52	24	39	1	07	1							0	0	0	0	0	0	200601200147	20060120014701	743.271299483587
70	02	01	576.73575237	47	48	55	1	14	2	34	45	52	4	5269	7	0	0	0	350000	0	0	200601200150	20060120015001	576.254220571551
70	02	01	700.22136578	52	48	45	1	01	2	4	45	52	4	5269	6	50000	0	0	0	0	0	200601200151	20060120015101	704.322139817208
70	03	01	700.22136578	47	50	99	1	14	2	4	45	52	4	5269	6	50000	0	0	0	0	0	200601200151	20060120015101	704.322139817208
70	03	01	1472.1753388	8	48	45	1	01	2	8	45	52	1	5224	7	0	0	0	0	0	0	200601200154	20060120015401	1475.86871891233
70	01	01	1342.7301385	26	48	45	1	01	2	208	45	15	1	1551	3	0	0	0	98	0	0	200601200156	20060120015601	1345.41106537504
70	01	01	1458.5436801	17	48	84	1	05	2	17	84	18	1	1810	7	0	0	0	0	0	0	200601200163	20060120016301	1457.41418922928
70	04	01	858.69733082	52	48	03	1	05	2	52	03	15	1	1551	0	0	0	0	0	0	0	200601200167	20060120016701	859.959942687453
70	01	01	588.23122223	156	48	57	1	01	2	156	45	51	1	5125	7	0	0	0	0	0	0	200601200173	20060120017301	586.957584593932
70	03	01	714.17698446	52	48	45	1	07	2	34	97	15	1	1551	6	0	0	0	0	0	0	200601200174	20060120017401	712.423055295609
70	01	01	685.9048997	17	48	58	1	01	2	17	45	52	4	5269	7	0	0	0	0	0	0	200601200175	20060120017501	686.268771249881
70	03	01	685.9048997	52	48	45	1	01	1							0	0	0	1200000	0	0	200601200175	20060120017501	686.268771249881
70	01	01	575.23120807	78	48	45	1	01	2	17	50	55	1	5522	7	0	0	0	98	0	0	200601200181	20060120018101	572.393379724983
70	04	01	656.37494814	8	48	34	1	02	1							0	0	0	0	0	0	200601200183	20060120018301	656.048284553381
70	03	01	700.22136578	104	48	37	1	07	1							0	0	0	0	0	0	200601200190	20060120019001	704.322139817208
70	03	01	778.81687986	8	60	98	4	05	2	8	98	60	4	6031	7	0	0	0	0	0	0	200601200191	20060120019101	784.085687487267
70	02	01	352.88695301	30	48	45	1	01	2	30	75	17	1	1720	7	0	0	0	98	0	0	200601200192	20060120019201	352.884377515262
70	04	01	352.88695301	52	48	54	3	05	2	52	54	95	1	9500	6	0	0	0	0	0	0	200601200192	20060120019201	352.884377515262
70	07	01	352.88695301	4	48	45	1	01	2	4	44	64	1	6421	1	0	0	0	0	0	0	200601200192	20060120019201	352.884377515262
70	05	01	676.08881908	52	48	39	1	07	1							0	0	0	0	0	0	200601200193	20060120019301	677.089660936286
70	01	01	765.18522113	34	48	58	1	05	2	34	63	20	1	2010	7	0	0	0	0	0	0	200601200195	20060120019501	875.664379042936
70	03	02	812.81570184	2	48	95	1	01	2	8	77	15	1	1551	0	0	0	0	0	0	0	200601200195	20060120019502	875.664379042936
70	01	02	576.95738212	3	48	53	1	02	2	4	54	95	1	9500	0	0	0	0	0	0	0	200601200200	20060120020002	637.677718852126
70	02	02	576.95738212	4	48	54	3	02	2	4	53	55	1	5522	7	0	0	0	98	0	0	200601200200	20060120020002	637.677718852126
70	04	01	839.51313185	104	48	95	1	01	2	104	95	45	1	4521	8	0	0	0	0	0	0	200601200204	20060120020401	840.058797791082
70	03	01	574.86530261	52	48	45	1	01	1							0	0	0	0	0	0	200601200215	20060120021501	573.954475231872
70	01	01	729.9034846	52	48	95	1	14	2	4	95	45	1	4521	8	350000	0	0	0	0	0	200601200219	20060120021901	732.597419428744
70	04	01	924.51446048	4	48	95	1	01	2	4	95	45	1	4521	8	98	0	0	0	0	0	200601200221	20060120022101	927.702676741644
70	05	01	924.51446048	26	48	97	1	01	2	26	79	18	1	1810	8	0	0	0	0	0	0	200601200221	20060120022101	927.702676741644
70	07	01	924.51446048	8	48	79	1	01	2	8	79	18	1	1810	8	0	0	0	0	0	0	200601200221	20060120022101	927.702676741644
70	01	01	570.55156756	52	48	55	4	01	2	30	55	74	4	7493	8	0	0	0	98	0	0	200601200222	20060120022201	570.917280544129
70	06	01	570.55156756	17	48	95	1	01	2	17	95	45	1	4521	8	0	0	0	0	0	0	200601200222	20060120022201	570.917280544129
70	01	01	759.00103633	1	48	95	4	01	2	1	95	45	4	4521	8	440000	0	0	0	0	0	200601200226	20060120022601	760.29421777679
70	02	01	688.45718869	156	48	59	1	01	2	52	79	18	1	1810	3	0	0	0	0	0	0	200601200227	20060120022701	687.763540991129
70	03	01	688.45718869	17	48	45	1	01	2	17	54	95	1	9500	6	0	0	0	0	0	0	200601200227	20060120022701	687.763540991129
70	01	01	444.91013986	52	48	58	1	01	2	4	58	75	1	7522	6	98	0	0	0	0	98	200601200234	20060120023401	441.561395672523
70	05	01	444.91013986	52	48	45	1	01	1							0	0	0	0	0	0	200601200234	20060120023401	441.561395672523
70	05	01	622.27415357	104	48	54	3	07	1							0	0	0	0	0	0	200601200248	20060120024801	621.581902443827
70	09	01	360.90310046	4	48	45	1	07	1							0	0	0	0	0	0	200601200251	20060120025101	357.41106638672
70	04	01	620.33691677	52	48	37	1	01	2	52	97	52	1	5225	8	0	0	0	0	0	0	200601200253	20060120025301	543.252535557198
70	03	01	682.49463363	4	48	80	1	01	2	4	80	19	1	1929	8	300000	0	0	0	0	0	200601200261	20060120026101	684.969992216788
70	04	01	682.49463363	52	48	79	1	14	2	4	79	18	4	1810	8	30000	0	0	0	0	0	200601200261	20060120026101	684.969992216788
70	01	01	825.81571601	4	48	37	1	01	2	4	37	50	1	5030	8	0	0	0	0	0	0	200601200263	20060120026301	830.366181138198
70	03	01	825.81571601	156	48	79	1	01	2	26	79	18	1	1810	8	0	0	0	0	0	0	200601200263	20060120026301	830.366181138198
70	01	01	700.4142794	4	48	53	1	09	2	4	53	80	1	8043	8	300000	0	0	0	0	0	200601200269	20060120026901	700.871867426374
70	01	01	784.11765727	1	48	19	1	01	2	2	19	75	4	7512	8	1600000	0	0	0	0	0	200601200271	20060120027101	785.818429283935
