Reg	Orden	Hogar	Fex_c	P34	P35a	P35b	P36_1	P36_2	P36a	Llave_viv	Llave_hog	Fex_c_2011
61	03	01	4373.9212768	56	2		2		060	200601300043	20060130004301	4389.46695382373
61	01	01	4085.0577299	56	1	56	2		108	200601300045	20060130004501	4075.73734213041
61	01	01	2584.9559095	35	2		2		192	200601300046	20060130004601	2601.61850658916
61	01	01	3140.1358599	40	2		2		600	200601300047	20060130004701	3169.00444625262
61	01	01	1752.8552348	40	2		2		372	200601300048	20060130004801	1786.76668841541
61	01	01	3837.8536965	50	2		2		240	200601300049	20060130004901	3793.6637774829
61	02	01	3837.8536965	48	2		2		060	200601300049	20060130004901	3793.6637774829
61	03	01	3837.8536965	48	2		2		060	200601300049	20060130004901	3793.6637774829
61	01	01	3498.4867535	40	2		2		600	200601300050	20060130005001	3540.8952629194
61	03	01	3498.4867535	48	2		2		180	200601300050	20060130005001	3540.8952629194
61	01	01	3140.1358599	24	2		2		480	200601300051	20060130005101	3169.00444625262
61	02	01	3140.1358599	15	2		2		015	200601300051	20060130005101	3169.00444625262
61	01	01	3549.7295228	27	2		2		012	200601300052	20060130005201	3534.40509848195
61	02	01	3549.7295228	25	2		2		000	200601300052	20060130005201	3534.40509848195
61	02	01	3140.1358599	32	2		2		360	200601300053	20060130005301	3169.00444625262
61	01	01	3409.2360753	60	2		2		036	200601300054	20060130005401	3395.33431159151
61	01	01	2866.659224	25	2		2		480	200601300055	20060130005501	2915.89440173016
61	04	01	2866.659224	40	2		2		012	200601300055	20060130005501	2915.89440173016
61	05	01	2866.659224	25	2		2		480	200601300055	20060130005501	2915.89440173016
61	01	01	3218.2230963	16	2		2		001	200601300056	20060130005601	3216.57910864864
61	03	01	3218.2230963	20	2		2		005	200601300056	20060130005601	3216.57910864864
61	01	01	2412.3737817	30	2		2		120	200601300057	20060130005701	2474.77131976996
61	01	01	2588.6747822	16	2		2		001	200601300058	20060130005801	2603.98748557866
61	03	01	2588.6747822	20	2		2		001	200601300058	20060130005801	2603.98748557866
61	01	01	3831.4728464	60	2		2		180	200601300059	20060130005901	3818.82413028414
61	01	01	3602.6709233	20	2		2		120	200601300060	20060130006001	3609.34404618402
61	01	01	3262.6789432	48	2		2		060	200601300061	20060130006101	3220.98538309123
61	01	01	3240.9771957	60	2		2		120	200601300063	20060130006301	3242.70550238511
61	01	01	2757.5380373	54	2		2		120	200601300064	20060130006401	2728.46569340836
61	01	01	2819.9216143	50	2		2		204	200601300065	20060130006501	2812.53869220701
61	04	01	2819.9216143	48	2		2		004	200601300065	20060130006501	2812.53869220701
61	06	01	2819.9216143	48	2		2		002	200601300065	20060130006501	2812.53869220701
61	01	01	3624.3726708	44	2		2		132	200601300066	20060130006601	3587.62392689013
61	04	01	3624.3726708	44	2		2		036	200601300066	20060130006601	3587.62392689013
61	01	01	2479.0731085	80	2		2		180	200601300067	20060130006701	2451.74061118502
61	06	01	2479.0731085	18	2		2		036	200601300067	20060130006701	2451.74061118502
61	07	01	2479.0731085	8	2		2		024	200601300067	20060130006701	2451.74061118502
61	01	01	3262.6163001	30	2		2		420	200601300068	20060130006801	3243.41912073428
61	03	01	3262.6163001	42	2		2		240	200601300068	20060130006801	3243.41912073428
61	04	01	3262.6163001	48	2		2		012	200601300068	20060130006801	3243.41912073428
61	05	01	3262.6163001	48	2		2		002	200601300068	20060130006801	3243.41912073428
61	06	01	3262.6163001	24	2		2		000	200601300068	20060130006801	3243.41912073428
61	07	01	3262.6163001	22	2		2		006	200601300068	20060130006801	3243.41912073428
61	01	01	3213.2235352	48	2		2		180	200601300069	20060130006901	3202.13546986284
61	03	01	3213.2235352	48	2		2		180	200601300069	20060130006901	3202.13546986284
61	04	01	3213.2235352	48	2		2		120	200601300069	20060130006901	3202.13546986284
61	05	01	3213.2235352	48	2		2		002	200601300069	20060130006901	3202.13546986284
61	06	01	3213.2235352	48	2		2		036	200601300069	20060130006901	3202.13546986284
61	01	01	2887.5444549	48	2		2		000	200601300070	20060130007001	2891.87800116826
61	02	01	2887.5444549	48	2		2		090	200601300070	20060130007001	2891.87800116826
61	01	01	3357.3470266	48	2		2		096	200601300071	20060130007101	3368.2418769198
61	01	01	3420.7754569	30	2		2		312	200601300072	20060130007201	3418.83930375241
61	03	01	3420.7754569	48	2		2		024	200601300072	20060130007201	3418.83930375241
61	04	01	3420.7754569	30	2		2		002	200601300072	20060130007201	3418.83930375241
61	01	01	3050.0173891	50	2		2		240	200601300073	20060130007301	3116.51210101301
61	02	01	3050.0173891	50	2		2		240	200601300073	20060130007301	3116.51210101301
61	01	01	3420.7754569	48	2		2		240	200601300074	20060130007401	3418.83930375241
61	01	01	3189.5286248	27	1	27	2		002	200601300075	20060130007501	3210.28809712405
61	03	01	3189.5286248	27	2		2		002	200601300075	20060130007501	3210.28809712405
61	01	01	3889.1726348	77	2		2		002	200601300076	20060130007601	3891.24660286214
61	01	01	4247.542238	54	2		2		240	200601300077	20060130007701	4279.64144545053
61	03	01	4247.542238	48	2		2		000	200601300077	20060130007701	4279.64144545053
61	04	01	4247.542238	48	2		2		012	200601300077	20060130007701	4279.64144545053
61	01	01	4091.0832903	50	2		2		240	200601300078	20060130007801	4074.40117390981
61	01	01	3872.8087307	56	2		2		018	200601300079	20060130007901	3845.79548299187
61	01	01	3476.9125312	72	2		2		360	200601300080	20060130008001	3474.82449801059
61	02	01	3476.9125312	14	2		2		240	200601300080	20060130008001	3474.82449801059
61	03	01	3476.9125312	24	2		2		060	200601300080	20060130008001	3474.82449801059
61	04	01	3476.9125312	60	2		2		060	200601300080	20060130008001	3474.82449801059
61	05	01	3476.9125312	60	2		2		048	200601300080	20060130008001	3474.82449801059
61	07	01	3476.9125312	50	2		2		036	200601300080	20060130008001	3474.82449801059
61	01	01	2914.1746346	60	2		2		024	200601300081	20060130008101	2902.2961732187
61	02	01	2914.1746346	60	2		2		024	200601300081	20060130008101	2902.2961732187
61	03	01	2914.1746346	66	2		2		006	200601300081	20060130008101	2902.2961732187
61	01	01	2317.1609155	70	2		2		002	200601300082	20060130008201	2295.63023162636
61	01	01	2630.7193846	90	2		2		012	200601300083	20060130008301	2651.97300339869
61	01	01	1893.7190164	80	2		2		018	200601300084	20060130008401	1904.62627475963
61	01	01	2261.7287769	60	2		2		005	200601300085	20060130008501	2251.39374031209
61	03	01	2261.7287769	50	2		2		004	200601300085	20060130008501	2251.39374031209
61	01	01	1904.640679	54	1	8	2		009	200601300086	20060130008601	1959.91043122608
61	01	01	2092.942956	50	1	16	2		096	200601300087	20060130008701	2094.11114277378
61	01	01	4466.7433436	90	2		2		024	200601300088	20060130008801	4456.07224627431
61	01	01	4883.102621	59	2		2		230	200601300089	20060130008901	4892.41026618216
61	03	01	4883.102621	25	2		2		014	200601300089	20060130008901	4892.41026618216
61	01	01	6480.2427046	50	2		2		358	200601300090	20060130009001	6478.69489089288
61	03	01	6480.2427046	35	2		2		096	200601300090	20060130009001	6478.69489089288
61	04	01	6480.2427046	35	2		2		086	200601300090	20060130009001	6478.69489089288
61	05	01	6480.2427046	25	2		2		036	200601300090	20060130009001	6478.69489089288
61	01	01	4745.2345572	40	2		2		160	200601300091	20060130009101	4761.37643783548
61	02	01	4745.2345572	30	2		2		140	200601300091	20060130009101	4761.37643783548
61	01	01	5736.2194832	54	2		2		232	200601300092	20060130009201	5793.77480693293
61	02	01	5736.2194832	32	2		2		396	200601300092	20060130009201	5793.77480693293
61	01	01	3317.4920465	50	2		2		240	200601300093	20060130009301	3263.95154789512
61	04	01	3317.4920465	45	2		2		036	200601300093	20060130009301	3263.95154789512
61	01	01	5022.8074088	70	2		2		009	200601300094	20060130009401	5052.26845110738
61	01	01	4597.6752445	64	2		2		144	200601300095	20060130009501	4667.39090206705
61	01	01	4597.6752445	90	2		2		023	200601300096	20060130009601	4667.39090206705
61	01	01	5329.4848507	60	2		2		280	200601300097	20060130009701	5321.55313584948
61	02	01	5329.4848507	60	2		2		188	200601300097	20060130009701	5321.55313584948
61	01	01	3657.3276174	24	2		2		300	200601300098	20060130009801	3627.06440106604
61	02	01	3657.3276174	7	2		2		036	200601300098	20060130009801	3627.06440106604
61	03	01	3657.3276174	8	2		2		024	200601300098	20060130009801	3627.06440106604
61	04	01	3657.3276174	8	2		2		024	200601300098	20060130009801	3627.06440106604
61	01	01	3568.3555561	12	2		2		360	200601300099	20060130009901	3588.98865982345
61	03	01	3568.3555561	6	2		2		036	200601300099	20060130009901	3588.98865982345
61	01	01	3446.1663566	48	1	16	2		120	200601300100	20060130010001	3412.39151629053
61	01	01	2923.3640542	48	2		2		448	200601300101	20060130010101	2929.64377098163
61	02	01	2923.3640542	14	2		2		048	200601300101	20060130010101	2929.64377098163
61	01	01	3332.1514675	60	2		2		340	200601300102	20060130010201	3355.59173032886
61	01	01	3100.3272059	36	2		2		360	200601300103	20060130010301	3118.14120426758
61	01	01	3320.3682599	60	2		2		600	200601300104	20060130010401	3327.41705820835
61	01	01	2382.2253106	60	2		2		360	200601300105	20060130010501	2400.06852912914
61	01	01	2893.7703172	10	2		2		006	200601300106	20060130010601	2907.78876087322
61	02	01	2893.7703172	7	2		2		006	200601300106	20060130010601	2907.78876087322
61	05	01	2893.7703172	36	2		2		120	200601300106	20060130010601	2907.78876087322
61	01	01	2911.4023253	56	2		2		001	200601300107	20060130010701	2928.10878674694
61	01	01	2677.7605406	56	2		2		360	200601300108	20060130010801	2698.83013450314
61	02	01	2677.7605406	7	2		2		360	200601300108	20060130010801	2698.83013450314
61	03	01	2677.7605406	56	2		2		002	200601300108	20060130010801	2698.83013450314
61	03	01	2526.2008848	24	1	24	2		360	200601300109	20060130010901	2547.68111565697
61	01	01	2819.3620957	30	2		2		024	200601300110	20060130011001	2848.51897242484
61	01	01	2441.5101161	30	2		2		240	200601300111	20060130011101	2455.53865389937
61	01	01	2661.444904	16	2		2		048	200601300112	20060130011201	2655.70194230532
61	04	01	2661.444904	16	2		1	8	036	200601300112	20060130011201	2655.70194230532
61	01	01	3122.234812	46	1	8	2		002	200601300113	20060130011301	3101.04651759333
61	02	01	3122.234812	21	1	21	2		008	200601300113	20060130011301	3101.04651759333
61	01	01	3014.7804443	14	2		2		048	200601300114	20060130011401	3029.46528365564
61	01	01	2800.8035253	60	2		2		320	200601300115	20060130011501	2804.14381945988
61	01	01	2522.0862827	40	1	24	2		360	200601300116	20060130011601	2507.26006515076
61	02	01	2522.0862827	20	2		2		096	200601300116	20060130011601	2507.26006515076
61	03	01	2522.0862827	32	1	16	2		007	200601300116	20060130011601	2507.26006515076
61	04	01	2522.0862827	30	2		2		004	200601300116	20060130011601	2507.26006515076
61	01	01	3332.1514675	48	2		2		025	200601300117	20060130011701	3355.59173032886
61	02	01	3497.2268297	40	2		2		096	200601300118	20060130011801	3507.76537203207
61	01	01	3688.6423759	40	2		2		024	200601300119	20060130011901	3655.76429837306
61	01	01	3597.9820986	48	2		2		480	200601300120	20060130012001	3574.01578539517
61	01	01	2138.8970534	60	2		2		430	200601300124	20060130012401	2153.94328095039
61	01	01	2328.2648656	8	2		2		012	200601300125	20060130012501	2347.2320763436
61	02	01	2328.2648656	8	2		2		012	200601300125	20060130012501	2347.2320763436
61	01	01	2150.0918697	40	2		2		420	200601300126	20060130012601	2190.32471937608
61	02	01	1973.921371	60	2		2		036	200601300128	20060130012801	1982.89122075689
61	01	01	2256.7252953	40	1	32	2		336	200601300130	20060130013001	2261.46050035862
61	01	01	2383.9445107	36	1	36	2		300	200601300132	20060130013201	2364.64889766478
61	03	01	2383.9445107	28	2		2		002	200601300132	20060130013201	2364.64889766478
61	01	01	3231.0272213	36	2		2		108	200601300133	20060130013301	3243.45518818988
61	05	01	3231.0272213	24	2		2		480	200601300133	20060130013301	3243.45518818988
61	01	01	2275.8288508	60	2		2		260	200601300134	20060130013401	2213.80279210765
61	01	01	2296.1537459	60	2		2		600	200601300135	20060130013501	2302.07089769297
61	03	01	2296.1537459	60	2		2		108	200601300135	20060130013501	2302.07089769297
61	01	01	2783.6448689	48	1	16	2		336	200601300136	20060130013601	2786.14864571565
61	02	01	2783.6448689	32	1	8	2		084	200601300136	20060130013601	2786.14864571565
61	01	01	2444.4513309	20	2		2		480	200601300137	20060130013701	2461.64700229384
61	02	01	2444.4513309	20	2		2		480	200601300137	20060130013701	2461.64700229384
61	01	01	2444.4513309	42	2		2		610	200601300138	20060130013801	2461.64700229384
61	02	01	2444.4513309	7	2		2		540	200601300138	20060130013801	2461.64700229384
61	01	01	3053.1367089	63	2		2		001	200601300139	20060130013901	3065.07114617363
61	01	01	2830.947052	60	2		2		002	200601300140	20060130014001	2815.28993231171
61	02	01	2830.947052	48	2		2		012	200601300140	20060130014001	2815.28993231171
61	01	01	1838.4634257	40	2		2		012	200601300141	20060130014101	1857.47618448857
61	01	01	1829.528703	8	1	8	2		024	200601300142	20060130014201	1829.4778768732
61	02	01	1829.528703	7	2		2		024	200601300142	20060130014201	1829.4778768732
61	01	01	2308.6042326	40	1	8	2		012	200601300143	20060130014301	2313.64254043859
61	02	01	2308.6042326	12	2		2		003	200601300143	20060130014301	2313.64254043859
