Reg	Orden	Hogar	Fex_c	P37	Valor38	P39	P40	P41	P42	P43	P44	P45	P46a	P46b	P46c	P46d	P46e	P46f	P46g	P46h	P46i	P46j	P47	P48	Llave_viv	Llave_hog	Fex_c_2011
62	03	01	4373.9212768	2			2					2													200601300043	20060130004301	4389.46695382373
62	01	01	4085.0577299	2			2					2													200601300045	20060130004501	4075.73734213041
62	01	01	2584.9559095	2			2					2													200601300046	20060130004601	2601.61850658916
62	01	01	3140.1358599	2			2					2													200601300047	20060130004701	3169.00444625262
62	01	01	1752.8552348	2			2					2													200601300048	20060130004801	1786.76668841541
62	01	01	3837.8536965	2			2					2													200601300049	20060130004901	3793.6637774829
62	02	01	3837.8536965	2			2					2													200601300049	20060130004901	3793.6637774829
62	03	01	3837.8536965	2			2					2													200601300049	20060130004901	3793.6637774829
62	01	01	3498.4867535	2			2					2													200601300050	20060130005001	3540.8952629194
62	03	01	3498.4867535	2			2					2													200601300050	20060130005001	3540.8952629194
62	01	01	3140.1358599	2			2					2													200601300051	20060130005101	3169.00444625262
62	02	01	3140.1358599	2			2					2													200601300051	20060130005101	3169.00444625262
62	01	01	3549.7295228	2			2					1		1									2	1	200601300052	20060130005201	3534.40509848195
62	02	01	3549.7295228	2			2					2													200601300052	20060130005201	3534.40509848195
62	02	01	3140.1358599	2			2					2													200601300053	20060130005301	3169.00444625262
62	01	01	3409.2360753	2			2					2													200601300054	20060130005401	3395.33431159151
62	01	01	2866.659224	2			2					2													200601300055	20060130005501	2915.89440173016
62	04	01	2866.659224	2			2					2													200601300055	20060130005501	2915.89440173016
62	05	01	2866.659224	2			2					2													200601300055	20060130005501	2915.89440173016
62	01	01	3218.2230963	2			1	40	1	1	2														200601300056	20060130005601	3216.57910864864
62	03	01	3218.2230963	1	120000	16	1	16	2	1	2														200601300056	20060130005601	3216.57910864864
62	01	01	2412.3737817	1	0	40	2					2													200601300057	20060130005701	2474.77131976996
62	01	01	2588.6747822	2			1	40	1	1	2														200601300058	20060130005801	2603.98748557866
62	03	01	2588.6747822	2			1	30	2	1	2														200601300058	20060130005801	2603.98748557866
62	01	01	3831.4728464	2			2					2													200601300059	20060130005901	3818.82413028414
62	01	01	3602.6709233	1	0	25	2					2													200601300060	20060130006001	3609.34404618402
62	01	01	3262.6789432	2			2					2													200601300061	20060130006101	3220.98538309123
62	01	01	3240.9771957	2			2					2													200601300063	20060130006301	3242.70550238511
62	01	01	2757.5380373	2			2					2													200601300064	20060130006401	2728.46569340836
62	01	01	2819.9216143	2			2					2													200601300065	20060130006501	2812.53869220701
