Reg	Orden	Hogar	Fex_c	P3	P4	P5	P6	P7	P8	P8a	P8b	P9	P10	P10a	P10b	P10c	P10n	P10u	Llave_viv	Llave_hog	Fex_c_2011
10	10	01	930.6380577	04	1	35	1	1	2	2	01		302				3	2	200601300013	20060130001301	941.862424515527
10	01	01	952.18125193	01	1	72	2	1	2	2	01		305				3	5	200601300014	20060130001401	958.408368956514
10	02	01	952.18125193	02	2	53	2	1	2	2	06		302				3	2	200601300014	20060130001401	958.408368956514
10	03	01	952.18125193	03	2	20	1	1	2	2	02		611				6	11	200601300014	20060130001401	958.408368956514
10	04	01	952.18125193	04	1	30	1	1	2	2	11		503				5	3	200601300014	20060130001401	958.408368956514
10	05	01	952.18125193	05	2	1	5												200601300014	20060130001401	958.408368956514
10	01	01	1293.3107269	01	1	28	2	1	2	2	01		305				3	5	200601300015	20060130001501	1294.00040707066
10	02	01	1293.3107269	02	2	32	2	1	2	2	07		305				3	5	200601300015	20060130001501	1294.00040707066
10	03	01	1293.3107269	03	1	5	5	2	2	2	03		100	2	2		1	0	200601300015	20060130001501	1294.00040707066
10	04	01	1293.3107269	03	2	2	5												200601300015	20060130001501	1294.00040707066
10	01	01	1467.140409	01	1	40	1	2	2	2	01		301				3	1	200601300016	20060130001601	1450.78478898692
10	02	01	1467.140409	02	2	36	1	1	2	2	07		305				3	5	200601300016	20060130001601	1450.78478898692
10	03	01	1467.140409	03	2	18	5	1	2	2	02		303				3	3	200601300016	20060130001601	1450.78478898692
10	04	01	1467.140409	03	1	15	5	1	1			1	400				4	0	200601300016	20060130001601	1450.78478898692
10	05	01	1467.140409	03	1	14	5	1	1			1	303				3	3	200601300016	20060130001601	1450.78478898692
10	06	01	1467.140409	03	1	13	5	1	1			1	304				3	4	200601300016	20060130001601	1450.78478898692
10	07	01	1467.140409	03	2	10	5	1	1			1	304				3	4	200601300016	20060130001601	1450.78478898692
10	08	01	1467.140409	03	1	19	1	1	2	2	01		408				4	8	200601300016	20060130001601	1450.78478898692
10	09	01	1467.140409	04	2	16	1	1	2	2	07		409				4	9	200601300016	20060130001601	1450.78478898692
10	10	01	1467.140409	05	2	0	5												200601300016	20060130001601	1450.78478898692
10	01	01	1253.0700299	01	1	66	2	2	2	2	11		100				1	0	200601300017	20060130001701	1264.59002843257
10	02	01	1253.0700299	02	2	66	2	1	2	2	11		301				3	1	200601300017	20060130001701	1264.59002843257
10	01	01	1840.0467804	01	1	53	4	1	2	2	01		305				3	5	200601300018	20060130001801	1817.03735237814
10	02	01	1840.0467804	03	1	13	5	1	1			1	304				3	4	200601300018	20060130001801	1817.03735237814
10	03	01	1840.0467804	03	1	10	5	1	1			1	302				3	2	200601300018	20060130001801	1817.03735237814
10	04	01	1840.0467804	03	1	9	5	1	1			1	303	1		008	3	3	200601300018	20060130001801	1817.03735237814
10	01	01	1109.4745279	01	2	24	5	1	2	2	07		407				4	7	200601300019	20060130001901	1099.21893291182
10	02	01	1109.4745279	03	2	6	5	2	1			1	300	2	2		3	0	200601300019	20060130001901	1099.21893291182
10	03	01	1109.4745279	03	1	3	5												200601300019	20060130001901	1099.21893291182
10	04	01	1109.4745279	03	2	1	5												200601300019	20060130001901	1099.21893291182
10	01	01	1339.748064	01	1	48	1	1	2	2	01		302				3	2	200601300020	20060130002001	1344.09564995676
10	02	01	1339.748064	02	2	53	1	1	2	2	07		406				4	6	200601300020	20060130002001	1344.09564995676
10	03	01	1339.748064	03	1	3	5												200601300020	20060130002001	1344.09564995676
