Reg	Orden	Hogar	Area	Fex_c	Rama4d	P49	P50	P51	P52	P52na	P53	P54	P55	P56	P57	P57na	Valor58a	Valor58b	Valor58c	Valor59a	Valor59b	Valor59c	Dsi	Llave_viv	Llave_hog	Fex_c_2011
70	02	01	05	760.0682691	8043	78	48	97	1	14	2	78	55	80	1	8	0	0	0	0	0	0	1	200601100117	20060110011701	760.29421777679
70	01	01	05	838.48943467	5030	104	48	45	1	09	2	156	45	50	4	0	0	0	0	0	0	0	1	200601100118	20060110011801	840.058797791082
70	04	01	05	635.29008605		104	48	45	1	07	1						0	0	0	0	0	0	1	200601100123	20060110012301	634.799173751752
70	02	01	05	774.2727503	5233	17	48	33	1	01	2	43	45	52	1	3	0	0	0	0	0	0	1	200601100126	20060110012601	773.511489084715
70	01	01	05	712.58308412	7494	104	60	54	1	03	2	104	37	74	1	4	0	0	0	98	0	0	1	200601100129	20060110012901	713.453095602872
70	04	01	05	596.7934449	3611	52	56	58	1	14	2	52	87	36	1	8	0	0	0	0	0	0	1	200601100130	20060110013001	595.453238936026
70	05	01	05	596.7934449	9500	43	60	54	3	01	2	43	54	95	1	0	0	0	0	98	0	0	1	200601100130	20060110013001	595.453238936026
70	01	02	05	596.7934449	7020	4	48	58	1	02	2	4	58	70	1	8	455700	0	0	0	0	0	1	200601100130	20060110013002	595.453238936026
70	05	02	05	596.7934449	6120	4	48	58	1	01	2	4	98	61	1	0	100000	0	0	0	0	0	1	200601100130	20060110013002	595.453238936026
70	02	01	05	713.6827837		52	48	34	1	01	1						0	0	0	0	0	0	1	200601100131	20060110013101	714.996019872052
70	02	01	05	742.37655783	3699	52	48	81	1	10	2	52	87	36	1	8	0	0	0	0	0	0	1	200601100132	20060110013201	744.637935949239
70	04	01	05	616.33235533	7499	43	48	39	1	02	2	43	39	74	1	6	0	0	0	100000	0	0	1	200601100133	20060110013301	616.59950067112
70	03	01	05	641.75931693	1810	52	48	79	1	06	2	104	79	18	1	3	0	0	0	98	0	0	1	200601100137	20060110013701	640.136113779174
70	02	01	05	720.04107024	6021	52	48	79	1	01	2	998	55	60	1	8	0	0	0	0	0	0	1	200601100141	20060110014101	718.003730592257
70	02	01	05	624.13004864	1810	2	48	79	1	02	2	2	79	18	1	8	450000	0	0	0	0	0	1	200601100145	20060110014501	623.966325612333
70	04	01	05	624.13004864	5219	2	48	42	1	06	2	2	42	52	1	8	450000	0	0	0	0	0	1	200601100145	20060110014501	623.966325612333
70	01	01	05	742.48742673	8512	52	48	54	1	09	2	998	37	85	1	7	0	0	0	0	0	0	1	200601100147	20060110014701	743.271299483587
70	03	01	05	742.48742673		52	24	39	1	07	1						0	0	0	0	0	0	1	200601100147	20060110014701	743.271299483587
70	02	01	05	579.57033326	5269	47	48	55	1	14	2	34	45	52	4	7	0	0	0	350000	0	0	1	200601100150	20060110015001	576.254220571551
70	02	01	05	700.74432195	5269	52	48	45	1	01	2	4	45	52	4	6	50000	0	0	0	0	0	1	200601100151	20060110015101	704.322139817208
70	03	01	05	700.74432195	5269	47	50	99	1	14	2	4	45	52	4	6	50000	0	0	0	0	0	1	200601100151	20060110015101	704.322139817208
70	03	01	05	1472.0363917	5224	8	48	45	1	01	2	8	45	52	1	7	0	0	0	0	0	0	1	200601100154	20060110015401	1475.86871891233
70	01	01	05	1347.3111697	1551	26	48	45	1	01	2	208	45	15	1	3	0	0	0	98	0	0	1	200601100156	20060110015601	1345.41106537504
70	01	01	05	1456.2186364	1810	17	48	84	1	05	2	17	84	18	1	7	0	0	0	0	0	0	1	200601100163	20060110016301	1457.41418922928
70	04	01	05	859.3367741	1551	52	48	03	1	05	2	52	03	15	1	0	0	0	0	0	0	0	1	200601100167	20060110016701	859.959942687453
70	01	01	05	587.6385812	5125	156	48	57	1	01	2	156	45	51	1	7	0	0	0	0	0	0	1	200601100173	20060110017301	586.957584593932
70	03	01	05	712.19627129	1551	52	48	45	1	07	2	34	97	15	1	6	0	0	0	0	0	0	1	200601100174	20060110017401	712.423055295609
70	01	01	05	685.19110484	5269	17	48	58	1	01	2	17	45	52	4	7	0	0	0	0	0	0	1	200601100175	20060110017501	686.268771249881
70	03	01	05	685.19110484		52	48	45	1	01	1						0	0	0	1200000	0	0	1	200601100175	20060110017501	686.268771249881
70	01	01	05	573.26047264	5522	78	48	45	1	01	2	17	50	55	1	7	0	0	0	98	0	0	1	200601100181	20060110018101	572.393379724983
70	04	01	05	653.12128502		8	48	34	1	02	1						0	0	0	0	0	0	1	200601100183	20060110018301	656.048284553381
70	03	01	05	700.74432195		104	48	37	1	07	1						0	0	0	0	0	0	1	200601100190	20060110019001	704.322139817208
70	03	01	05	782.35525533	6031	8	60	98	4	05	2	8	98	60	4	7	0	0	0	0	0	0	1	200601100191	20060110019101	784.085687487267
70	02	01	05	352.88695301	1720	30	48	45	1	01	2	30	75	17	1	7	0	0	0	98	0	0	1	200601100192	20060110019201	352.884377515262
70	04	01	05	352.88695301	9500	52	48	54	3	05	2	52	54	95	1	6	0	0	0	0	0	0	1	200601100192	20060110019201	352.884377515262
