Reg	Orden	Hogar	Area	Fex_c	P3	P4	P5	P6	P7	P8	Pn8a	Pn8b	P9	P10	P10n	P10u	Llave_viv	Llave_hog	Fex_c_2011
10	01	01	05	712.19627129	01	1	63	1	1	2	2	11		302	3	2	200601100174	20060110017401	712.423055295609
10	02	01	05	712.19627129	02	2	50	1	1	2	2	11		302	3	2	200601100174	20060110017401	712.423055295609
10	03	01	05	712.19627129	03	2	20	5	1	2	2	02		611	6	11	200601100174	20060110017401	712.423055295609
10	04	01	05	712.19627129	06	1	79	3	1	2	2	11		303	3	3	200601100174	20060110017401	712.423055295609
10	01	01	05	685.19110484	01	1	45	4	1	2	2	02		305	3	5	200601100175	20060110017501	686.268771249881
10	02	01	05	685.19110484	08	2	50	4	1	2	2	02		305	3	5	200601100175	20060110017501	686.268771249881
10	03	01	05	685.19110484	11	2	20	5	1	2	2	11		610	6	10	200601100175	20060110017501	686.268771249881
10	04	01	05	685.19110484	11	1	4	5									200601100175	20060110017501	686.268771249881
10	05	01	05	685.19110484	11	1	14	5	1	1			1	400	4	0	200601100175	20060110017501	686.268771249881
10	06	01	05	685.19110484	08	2	61	3	1	2	2	07		305	3	5	200601100175	20060110017501	686.268771249881
10	01	01	05	726.96119268	01	2	65	5	1	2	2	07		611	6	11	200601100176	20060110017601	728.017300471821
10	02	01	05	726.96119268	08	2	51	5	1	2	2	01		610	6	10	200601100176	20060110017601	728.017300471821
10	03	01	05	726.96119268	06	2	83	3	1	2	2	11		304	3	4	200601100176	20060110017601	728.017300471821
10	01	01	05	774.2727503	01	1	42	2	1	2	2	01		406	4	6	200601100177	20060110017701	773.511489084715
10	02	01	05	774.2727503	02	2	32	2	1	2	2	01		409	4	9	200601100177	20060110017701	773.511489084715
10	03	01	05	774.2727503	03	2	10	5	1	1			1	304	3	4	200601100177	20060110017701	773.511489084715
10	01	01	05	774.2727503	01	1	27	1	1	2	2	01		611	6	11	200601100178	20060110017801	773.511489084715
10	02	01	05	774.2727503	02	2	25	1	1	1			2	500	5	0	200601100178	20060110017801	773.511489084715
10	03	01	05	774.2727503	03	2	4	5									200601100178	20060110017801	773.511489084715
10	01	01	05	670.5640354	01	1	65	2	1	2	2	11		305	3	5	200601100179	20060110017901	672.107259163578
10	02	01	05	670.5640354	02	2	49	2	1	2	2	07		611	6	11	200601100179	20060110017901	672.107259163578
10	03	01	05	670.5640354	03	1	19	5	1	2	2	06		611	6	11	200601100179	20060110017901	672.107259163578
10	04	01	05	670.5640354	03	2	12	5	1	1			1	406	4	6	200601100179	20060110017901	672.107259163578
10	01	01	05	709.17849507	01	2	64	5	1	2	2	11		303	3	3	200601100180	20060110018001	709.610925316698
10	01	01	05	573.26047264	01	2	19	5	1	2	2	02		611	6	11	200601100181	20060110018101	572.393379724983
10	02	01	05	573.26047264	03	1	1	5									200601100181	20060110018101	572.393379724983
10	01	01	05	709.17849507	01	2	80	3	2	2	2	11		100	1	0	200601100182	20060110018201	709.610925316698
10	01	01	05	653.12128502	01	1	56	2	1	2	2	11		303	3	3	200601100183	20060110018301	656.048284553381
10	02	01	05	653.12128502	02	2	56	2	1	2	2	07		408	4	8	200601100183	20060110018301	656.048284553381
10	03	01	05	653.12128502	03	1	22	5	1	1			1	502	5	2	200601100183	20060110018301	656.048284553381
10	04	01	05	653.12128502	03	2	21	5	1	2	2	02		611	6	11	200601100183	20060110018301	656.048284553381
10	05	01	05	653.12128502	03	1	19	5	1	2	2	11		611	6	11	200601100183	20060110018301	656.048284553381
10	01	01	05	736.01819586	01	1	42	1	1	2	2	01		305	3	5	200601100184	20060110018401	737.934359456166
10	02	01	05	736.01819586	02	2	41	1	1	2	2	01		305	3	5	200601100184	20060110018401	737.934359456166
10	03	01	05	736.01819586	03	2	15	5	1	1			1	409	4	9	200601100184	20060110018401	737.934359456166
10	04	01	05	736.01819586	03	1	14	5	1	1			1	406	4	6	200601100184	20060110018401	737.934359456166
10	01	01	05	673.87763811	01	1	27	2	1	2	2	06		409	4	9	200601100185	20060110018501	673.19933612218
10	02	01	05	673.87763811	02	2	22	2	1	2	2	06		611	6	11	200601100185	20060110018501	673.19933612218
10	03	01	05	673.87763811	03	1	4	5									200601100185	20060110018501	673.19933612218
10	01	01	05	708.81858985	01	1	57	1	1	2	2	02		406	4	6	200601100186	20060110018601	707.684388792127
10	02	01	05	708.81858985	02	2	47	1	1	2	2	01		305	3	5	200601100186	20060110018601	707.684388792127
10	03	01	05	708.81858985	03	2	11	5	1	1			1	400	4	0	200601100186	20060110018601	707.684388792127
10	01	01	05	777.5394874	01	1	66	3	1	2	2	11		302	3	2	200601100187	20060110018701	775.92092628098
10	02	01	05	777.5394874	03	1	41	5	1	2	2	11		302	3	2	200601100187	20060110018701	775.92092628098
10	03	01	05	777.5394874	03	2	39	5	1	2	2	02		302	3	2	200601100187	20060110018701	775.92092628098
10	04	01	05	777.5394874	05	2	10	5	1	1			1	304	3	4	200601100187	20060110018701	775.92092628098
10	05	01	05	777.5394874	03	1	36	5	1	2	2	02		305	3	5	200601100187	20060110018701	775.92092628098
10	06	01	05	777.5394874	03	2	22	5	1	2	2	02		305	3	5	200601100187	20060110018701	775.92092628098
10	07	01	05	777.5394874	05	1	2	5									200601100187	20060110018701	775.92092628098
10	01	01	05	563.47756362	01	1	32	1	1	2	2	01		304	3	4	200601100188	20060110018801	562.26849696609
10	02	01	05	563.47756362	02	2	37	1	1	2	2	02		611	6	11	200601100188	20060110018801	562.26849696609
10	03	01	05	563.47756362	03	2	16	5	1	2	2	02		304	3	4	200601100188	20060110018801	562.26849696609
10	04	01	05	563.47756362	03	2	13	5	1	1			1	407	4	7	200601100188	20060110018801	562.26849696609
10	05	01	05	563.47756362	03	1	10	5	1	1			1	304	3	4	200601100188	20060110018801	562.26849696609
10	06	01	05	563.47756362	06	2	0	5									200601100188	20060110018801	562.26849696609
10	01	01	05	788.65241917	01	1	39	1	1	2	2	01		302	3	2	200601100189	20060110018901	788.539924064964
10	02	01	05	788.65241917	02	2	27	1	1	2	2	06		409	4	9	200601100189	20060110018901	788.539924064964
10	01	02	05	788.65241917	01	1	56	4	1	2	2	01		611	6	11	200601100189	20060110018902	788.539924064964
10	01	03	05	788.65241917	01	2	22	5	1	2	2	01		611	6	11	200601100189	20060110018903	788.539924064964
10	01	04	05	788.65241917	01	1	56	3	1	2	2	11		305	3	5	200601100189	20060110018904	788.539924064964
10	01	05	05	788.65241917	01	1	31	1	1	2	2	02		611	6	11	200601100189	20060110018905	788.539924064964
10	02	05	05	788.65241917	02	2	24	1	1	2	2	02		611	6	11	200601100189	20060110018905	788.539924064964
10	03	05	05	788.65241917	03	2	9	5	1	1			1	303	3	3	200601100189	20060110018905	788.539924064964
10	01	01	05	700.74432195	01	2	40	5	1	2	2	07		407	4	7	200601100190	20060110019001	704.322139817208
10	02	01	05	700.74432195	03	1	23	5	1	2	2	02		611	6	11	200601100190	20060110019001	704.322139817208
10	03	01	05	700.74432195	03	1	20	5	1	2	2	02		611	6	11	200601100190	20060110019001	704.322139817208
10	04	01	05	700.74432195	03	1	16	5	1	1			1	407	4	7	200601100190	20060110019001	704.322139817208
10	01	01	05	782.35525533	01	1	54	3	1	2	2	01		305	3	5	200601100191	20060110019101	784.085687487267
10	02	01	05	782.35525533	03	2	27	5	1	2	2	06		302	3	2	200601100191	20060110019101	784.085687487267
10	03	01	05	782.35525533	03	1	19	5	1	2	2	01		407	4	7	200601100191	20060110019101	784.085687487267
10	04	01	05	782.35525533	03	1	17	5	1	1			1	409	4	9	200601100191	20060110019101	784.085687487267
10	05	01	05	782.35525533	03	2	25	1	1	2	2	06		407	4	7	200601100191	20060110019101	784.085687487267
10	06	01	05	782.35525533	05	1	7	5	1	1			1	301	3	1	200601100191	20060110019101	784.085687487267
10	07	01	05	782.35525533	11	2	46	3	1	2	2	11		305	3	5	200601100191	20060110019101	784.085687487267
10	01	01	05	352.88695301	01	2	38	3	1	2	2	01		303	3	3	200601100192	20060110019201	352.884377515262
10	02	01	05	352.88695301	03	2	25	5	1	2	2	02		610	6	10	200601100192	20060110019201	352.884377515262
10	03	01	05	352.88695301	05	2	4	5									200601100192	20060110019201	352.884377515262
10	04	01	05	352.88695301	03	2	23	5	1	2	2	11		303	3	3	200601100192	20060110019201	352.884377515262
10	05	01	05	352.88695301	05	1	6	5	2	1			1	300	3	0	200601100192	20060110019201	352.884377515262
10	06	01	05	352.88695301	05	1	4	5									200601100192	20060110019201	352.884377515262
10	07	01	05	352.88695301	03	2	21	5	1	2	2	06		406	4	6	200601100192	20060110019201	352.884377515262
10	08	01	05	352.88695301	05	2	3	5									200601100192	20060110019201	352.884377515262
10	09	01	05	352.88695301	03	1	17	5	2	2	2	06		100	1	0	200601100192	20060110019201	352.884377515262
10	10	01	05	352.88695301	03	1	16	5	1	1			1	407	4	7	200601100192	20060110019201	352.884377515262
10	11	01	05	352.88695301	03	2	15	5	1	1			1	406	4	6	200601100192	20060110019201	352.884377515262
10	12	01	05	352.88695301	03	2	10	5	1	1			1	303	3	3	200601100192	20060110019201	352.884377515262
10	13	01	05	352.88695301	03	2	4	5									200601100192	20060110019201	352.884377515262
10	14	01	05	352.88695301	03	2	1	5									200601100192	20060110019201	352.884377515262
10	01	01	05	675.31728491	01	2	46	2	1	2	2	06		408	4	8	200601100193	20060110019301	677.089660936286
10	02	01	05	675.31728491	02	1	50	2	1	2	2	11		407	4	7	200601100193	20060110019301	677.089660936286
10	03	01	05	675.31728491	03	1	13	5	1	1			1	407	4	7	200601100193	20060110019301	677.089660936286
10	04	01	05	675.31728491	03	1	24	2	1	2	2	02		611	6	11	200601100193	20060110019301	677.089660936286
10	05	01	05	675.31728491	04	2	23	2	1	2	2	02		611	6	11	200601100193	20060110019301	677.089660936286
10	06	01	05	675.31728491	05	1	4	5									200601100193	20060110019301	677.089660936286
10	01	01	05	744.34150008	01	2	74	1	1	2	2	06		100	1	0	200601100194	20060110019401	744.589781421308
10	02	01	05	744.34150008	02	1	60	1	1	2	2	06		302	3	2	200601100194	20060110019401	744.589781421308
10	01	01	05	875.06354312	01	1	31	1	1	2	2	01		407	4	7	200601100195	20060110019501	875.664379042936
10	02	01	05	875.06354312	02	2	28	1	1	2	2	02		611	6	11	200601100195	20060110019501	875.664379042936
10	03	01	05	875.06354312	03	1	7	5	1	1			1	302	3	2	200601100195	20060110019501	875.664379042936
10	01	02	05	875.06354312	01	1	27	1	1	2	2	01		409	4	9	200601100195	20060110019502	875.664379042936
10	02	02	05	875.06354312	02	2	28	1	1	2	2	01		305	3	5	200601100195	20060110019502	875.664379042936
10	03	02	05	875.06354312	11	1	18	5	1	2	2	01		610	6	10	200601100195	20060110019502	875.664379042936
10	01	01	05	820.76918004	01	1	47	1	1	2	2	02		303	3	3	200601100196	20060110019601	821.13891629667
10	02	01	05	820.76918004	02	2	37	1	1	2	2	02		301	3	1	200601100196	20060110019601	821.13891629667
10	01	01	05	755.31501959	01	1	64	1	1	2	2	11		305	3	5	200601100197	20060110019701	755.311816004083
10	02	01	05	755.31501959	02	2	50	1	1	2	2	06		305	3	5	200601100197	20060110019701	755.311816004083
10	01	01	05	712.30581991	01	2	34	2	1	2	2	07		611	6	11	200601100198	20060110019801	710.123399311754
10	02	01	05	712.30581991	02	1	34	2	1	2	2	01		304	3	4	200601100198	20060110019801	710.123399311754
10	03	01	05	712.30581991	03	1	9	5	1	1			1	304	3	4	200601100198	20060110019801	710.123399311754
10	04	01	05	712.30581991	03	1	4	5									200601100198	20060110019801	710.123399311754
10	01	01	05	625.17417942	01	1	39	1	1	2	2	01		305	3	5	200601100199	20060110019901	621.85125825098
10	02	01	05	625.17417942	02	2	30	1	1	2	2	07		611	6	11	200601100199	20060110019901	621.85125825098
10	03	01	05	625.17417942	03	1	3	5									200601100199	20060110019901	621.85125825098
10	04	01	05	625.17417942	03	2	1	5									200601100199	20060110019901	621.85125825098
10	01	02	05	625.17417942	01	2	23	4	1	2	2	02		610	6	10	200601100199	20060110019902	621.85125825098
10	02	02	05	625.17417942	03	2	3	5									200601100199	20060110019902	621.85125825098
10	01	03	05	625.17417942	01	1	33	1	1	2	2	02		303	3	3	200601100199	20060110019903	621.85125825098
10	02	03	05	625.17417942	02	2	27	1	1	2	2	02		302	3	2	200601100199	20060110019903	621.85125825098
10	03	03	05	625.17417942	03	2	9	5	1	1			1	303	3	3	200601100199	20060110019903	621.85125825098
10	04	03	05	625.17417942	03	2	6	5	2	1			1	300	3	0	200601100199	20060110019903	621.85125825098
10	01	04	05	625.17417942	01	1	22	1	1	2	2	06		303	3	3	200601100199	20060110019904	621.85125825098
10	02	04	05	625.17417942	02	2	27	1	1	2	2	06		407	4	7	200601100199	20060110019904	621.85125825098
10	01	01	05	641.66262968	01	1	32	1	1	2	2	01		305	3	5	200601100200	20060110020001	637.677718852126
10	02	01	05	641.66262968	02	2	34	1	1	2	2	01		611	6	11	200601100200	20060110020001	637.677718852126
10	03	01	05	641.66262968	03	1	0	5									200601100200	20060110020001	637.677718852126
10	01	02	05	641.66262968	01	2	45	4	1	2	2	06		302	3	2	200601100200	20060110020002	637.677718852126
10	02	02	05	641.66262968	03	2	28	5	1	2	2	07		304	3	4	200601100200	20060110020002	637.677718852126
10	03	02	05	641.66262968	05	1	12	5	1	2	2	04		303	3	3	200601100200	20060110020002	637.677718852126
10	04	02	05	641.66262968	05	2	10	5	1	2	2	04		302	3	2	200601100200	20060110020002	637.677718852126
10	05	02	05	641.66262968	05	1	7	5	2	2	2	06		100	1	0	200601100200	20060110020002	637.677718852126
10	06	02	05	641.66262968	05	2	5	5	2	2	2	04		100	1	0	200601100200	20060110020002	637.677718852126
10	01	03	05	641.66262968	01	1	33	1	1	2	2	02		305	3	5	200601100200	20060110020003	637.677718852126
10	02	03	05	641.66262968	02	2	33	1	1	2	2	02		407	4	7	200601100200	20060110020003	637.677718852126
10	03	03	05	641.66262968	03	1	12	5	1	2	2	09		305	3	5	200601100200	20060110020003	637.677718852126
10	04	03	05	641.66262968	03	1	10	5	1	2	2	08		304	3	4	200601100200	20060110020003	637.677718852126
10	05	03	05	641.66262968	03	1	7	5	2	2	2	08		201	2	1	200601100200	20060110020003	637.677718852126
10	01	01	05	742.48742673	01	2	42	1	1	2	2	01		406	4	6	200601100201	20060110020101	743.271299483587
10	02	01	05	742.48742673	02	1	48	1	1	2	2	01		305	3	5	200601100201	20060110020101	743.271299483587
10	03	01	05	742.48742673	03	2	19	5	2	2	2	11		100	1	0	200601100201	20060110020101	743.271299483587
10	01	01	05	712.30581991	01	1	35	2	1	2	2	01		611	6	11	200601100202	20060110020201	710.123399311754
10	02	01	05	712.30581991	02	2	34	2	1	2	2	01		305	3	5	200601100202	20060110020201	710.123399311754
10	03	01	05	712.30581991	03	1	11	5	1	1			1	406	4	6	200601100202	20060110020201	710.123399311754
10	04	01	05	712.30581991	03	1	2	5									200601100202	20060110020201	710.123399311754
10	01	01	05	664.20567342	01	1	40	2	1	2	2	01		305	3	5	200601100203	20060110020301	665.403682670504
10	02	01	05	664.20567342	02	2	44	2	1	2	2	01		305	3	5	200601100203	20060110020301	665.403682670504
10	03	01	05	664.20567342	03	2	19	5	1	2	2	01		611	6	11	200601100203	20060110020301	665.403682670504
10	04	01	05	664.20567342	03	2	12	5	1	1			1	400	4	0	200601100203	20060110020301	665.403682670504
10	01	01	05	838.48943467	01	1	74	2	1	2	2	11		304	3	4	200601100204	20060110020401	840.058797791082
10	02	01	05	838.48943467	02	2	64	2	1	2	2	07		303	3	3	200601100204	20060110020401	840.058797791082
10	03	01	05	838.48943467	03	1	25	5	1	2	2	11		611	6	11	200601100204	20060110020401	840.058797791082
10	04	01	05	838.48943467	03	1	23	5	1	2	2	01		406	4	6	200601100204	20060110020401	840.058797791082
10	01	01	05	670.51553404	01	2	51	5	1	2	2	11		305	3	5	200601100205	20060110020501	669.264523517072
10	02	01	05	670.51553404	08	1	45	5	1	2	2	01		305	3	5	200601100205	20060110020501	669.264523517072
10	03	01	05	670.51553404	08	2	43	5	1	2	2	02		303	3	3	200601100205	20060110020501	669.264523517072
10	04	01	05	670.51553404	08	2	41	5	1	2	2	02		303	3	3	200601100205	20060110020501	669.264523517072
10	05	01	05	670.51553404	08	2	19	5	1	2	2	02		406	4	6	200601100205	20060110020501	669.264523517072
10	06	01	05	670.51553404	09	2	1	5									200601100205	20060110020501	669.264523517072
10	07	01	05	670.51553404	05	1	11	5	1	1			1	303	3	3	200601100205	20060110020501	669.264523517072
10	01	01	05	689.52176612	01	1	44	1	1	2	2	01		304	3	4	200601100206	20060110020601	690.30693224421
10	02	01	05	689.52176612	02	2	33	1	1	2	2	07		408	4	8	200601100206	20060110020601	690.30693224421
10	03	01	05	689.52176612	03	2	13	5	1	2	2	02		406	4	6	200601100206	20060110020601	690.30693224421
10	04	01	05	689.52176612	03	1	12	5	1	2	2	02		406	4	6	200601100206	20060110020601	690.30693224421
10	05	01	05	689.52176612	03	2	5	5	2	2	2	02		100	1	0	200601100206	20060110020601	690.30693224421
10	01	01	05	577.93108115	01	2	65	3	2	2	2	11		100	1	0	200601100207	20060110020701	578.778941264238
10	02	01	05	577.93108115	03	1	23	1	1	2	2	01		305	3	5	200601100207	20060110020701	578.778941264238
10	03	01	05	577.93108115	04	2	22	1	1	2	2	07		610	6	10	200601100207	20060110020701	578.778941264238
10	04	01	05	577.93108115	05	2	0	5									200601100207	20060110020701	578.778941264238
10	01	01	05	688.25574666	01	1	39	2	1	2	2	01		406	4	6	200601100208	20060110020801	687.763540991129
10	02	01	05	688.25574666	02	2	40	2	1	2	2	07		407	4	7	200601100208	20060110020801	687.763540991129
10	03	01	05	688.25574666	03	2	16	5	1	1			1	408	4	8	200601100208	20060110020801	687.763540991129
10	04	01	05	688.25574666	03	1	7	5	1	1			1	301	3	1	200601100208	20060110020801	687.763540991129
10	01	01	05	652.89915631	01	1	44	2	1	2	2	01		305	3	5	200601100209	20060110020901	651.85861534585
10	02	01	05	652.89915631	02	2	35	2	1	2	2	07		305	3	5	200601100209	20060110020901	651.85861534585
10	03	01	05	652.89915631	03	2	17	5	1	1			1	610	6	10	200601100209	20060110020901	651.85861534585
10	04	01	05	652.89915631	03	2	11	5	1	1			1	304	3	4	200601100209	20060110020901	651.85861534585
10	05	01	05	652.89915631	03	2	3	5									200601100209	20060110020901	651.85861534585
10	06	01	05	652.89915631	11	2	55	5	1	2	2	07		409	4	9	200601100209	20060110020901	651.85861534585
10	01	01	05	799.92184061	01	1	25	5	1	2	2	01		611	6	11	200601100210	20060110021001	801.2377714003
10	02	01	05	799.92184061	11	1	22	5	1	2	2	01		304	3	4	200601100210	20060110021001	801.2377714003
10	01	01	05	774.2727503	01	1	46	1	1	2	2	01		305	3	5	200601100211	20060110021101	773.511489084715
10	02	01	05	774.2727503	02	2	33	1	1	2	2	07		305	3	5	200601100211	20060110021101	773.511489084715
10	03	01	05	774.2727503	03	2	7	5	1	1			1	301	3	1	200601100211	20060110021101	773.511489084715
10	01	01	05	595.26288719	01	1	44	2	1	2	2	01		303	3	3	200601100212	20060110021201	592.508686567218
10	02	01	05	595.26288719	02	2	42	2	1	2	2	07		303	3	3	200601100212	20060110021201	592.508686567218
10	03	01	05	595.26288719	03	2	19	5	1	2	2	01		407	4	7	200601100212	20060110021201	592.508686567218
10	04	01	05	595.26288719	05	1	3	5									200601100212	20060110021201	592.508686567218
10	05	01	05	595.26288719	03	2	9	5	1	1			1	302	3	2	200601100212	20060110021201	592.508686567218
10	06	01	05	595.26288719	03	2	7	5	1	1			1	301	3	1	200601100212	20060110021201	592.508686567218
10	01	01	05	720.15201458	01	2	33	5	1	2	2	01		305	3	5	200601100213	20060110021301	720.332959899474
10	01	01	05	635.1164587	01	1	25	1	1	2	2	01		611	6	11	200601100214	20060110021401	633.452240190727
10	02	01	05	635.1164587	02	2	22	1	1	2	2	07		611	6	11	200601100214	20060110021401	633.452240190727
10	03	01	05	635.1164587	03	2	2	5									200601100214	20060110021401	633.452240190727
10	04	01	05	635.1164587	03	2	2	5									200601100214	20060110021401	633.452240190727
10	01	01	05	574.58917511	01	1	43	1	1	2	2	01		305	3	5	200601100215	20060110021501	573.954475231872
10	02	01	05	574.58917511	02	2	39	1	1	2	2	07		305	3	5	200601100215	20060110021501	573.954475231872
10	03	01	05	574.58917511	03	1	18	1	1	2	2	01		611	6	11	200601100215	20060110021501	573.954475231872
10	04	01	05	574.58917511	03	1	13	5	1	1			1	400	4	0	200601100215	20060110021501	573.954475231872
10	05	01	05	574.58917511	03	1	9	5	1	1			1	303	3	3	200601100215	20060110021501	573.954475231872
10	06	01	05	574.58917511	03	2	3	5									200601100215	20060110021501	573.954475231872
10	07	01	05	574.58917511	05	1	0	5									200601100215	20060110021501	573.954475231872
10	08	01	05	574.58917511	04	2	18	1	1	2	2	07		406	4	6	200601100215	20060110021501	573.954475231872
10	01	01	05	737.79686023	01	1	60	2	1	2	2	01		611	6	11	200601100216	20060110021601	737.306601964687
10	02	01	05	737.79686023	02	2	52	2	1	2	2	07		305	3	5	200601100216	20060110021601	737.306601964687
10	03	01	05	737.79686023	03	2	15	5	1	1			1	407	4	7	200601100216	20060110021601	737.306601964687
10	01	02	05	737.79686023	01	1	38	2	1	2	2	01		611	6	11	200601100216	20060110021602	737.306601964687
10	02	02	05	737.79686023	02	2	27	2	1	2	2	07		611	6	11	200601100216	20060110021602	737.306601964687
10	03	02	05	737.79686023	03	1	11	5	1	1			1	406	4	6	200601100216	20060110021602	737.306601964687
10	01	01	05	820.76918004	01	1	33	5	1	1			2	510	5	10	200601100217	20060110021701	821.13891629667
10	02	01	05	820.76918004	09	2	43	5	1	2	2	01		305	3	5	200601100217	20060110021701	821.13891629667
10	01	01	05	696.16462434	01	1	48	2	1	2	2	11		302	3	2	200601100218	20060110021801	696.990805832656
10	02	01	05	696.16462434	02	2	48	2	1	2	2	07		408	4	8	200601100218	20060110021801	696.990805832656
10	03	01	05	696.16462434	03	2	19	5	1	1			2	501	5	1	200601100218	20060110021801	696.990805832656
10	04	01	05	696.16462434	03	1	24	5	2	2	2	11		100	1	0	200601100218	20060110021801	696.990805832656
10	05	01	05	696.16462434	03	2	26	4	1	2	2	06		611	6	11	200601100218	20060110021801	696.990805832656
10	06	01	05	696.16462434	05	1	5	5	2	1			1	200	2	0	200601100218	20060110021801	696.990805832656
10	01	01	05	729.54896498	01	1	45	2	1	2	2	01		303	3	3	200601100219	20060110021901	732.597419428744
10	02	01	05	729.54896498	02	2	40	2	1	2	2	01		303	3	3	200601100219	20060110021901	732.597419428744
10	03	01	05	729.54896498	03	1	19	5	1	2	2	01		407	4	7	200601100219	20060110021901	732.597419428744
10	04	01	05	729.54896498	03	2	16	5	1	1			2	304	3	4	200601100219	20060110021901	732.597419428744
10	05	01	05	729.54896498	03	1	15	5	1	2	2	11		305	3	5	200601100219	20060110021901	732.597419428744
10	01	01	05	736.01819586	01	1	45	2	2	2	2	01		100	1	0	200601100220	20060110022001	737.934359456166
10	02	01	05	736.01819586	02	2	38	2	1	2	2	07		305	3	5	200601100220	20060110022001	737.934359456166
10	03	01	05	736.01819586	03	2	15	5	1	1			1	408	4	8	200601100220	20060110022001	737.934359456166
10	04	01	05	736.01819586	09	1	20	5	1	1			1	611	6	11	200601100220	20060110022001	737.934359456166
10	01	01	05	927.83561838	01	1	66	2	1	2	2	11		303	3	3	200601100221	20060110022101	927.702676741644
10	02	01	05	927.83561838	02	2	66	2	1	2	2	07		303	3	3	200601100221	20060110022101	927.702676741644
10	03	01	05	927.83561838	03	2	42	5	1	2	2	07		305	3	5	200601100221	20060110022101	927.702676741644
10	04	01	05	927.83561838	03	1	40	5	1	2	2	01		305	3	5	200601100221	20060110022101	927.702676741644
10	05	01	05	927.83561838	03	2	27	5	1	2	2	01		611	6	11	200601100221	20060110022101	927.702676741644
10	06	01	05	927.83561838	05	2	4	5									200601100221	20060110022101	927.702676741644
10	07	01	05	927.83561838	03	1	25	5	1	2	2	01		611	6	11	200601100221	20060110022101	927.702676741644
10	01	01	05	573.10110238	01	2	47	4	1	2	2	07		407	4	7	200601100222	20060110022201	570.917280544129
10	02	01	05	573.10110238	03	2	25	4	1	2	2	07		409	4	9	200601100222	20060110022201	570.917280544129
10	03	01	05	573.10110238	05	1	5	5	2	2	2	03		100	1	0	200601100222	20060110022201	570.917280544129
10	04	01	05	573.10110238	05	2	3	5									200601100222	20060110022201	570.917280544129
10	05	01	05	573.10110238	05	1	0	5									200601100222	20060110022201	570.917280544129
10	06	01	05	573.10110238	03	1	24	5	1	2	2	01		610	6	10	200601100222	20060110022201	570.917280544129
10	01	01	05	659.45110363	01	2	34	4	1	2	2	01		408	4	8	200601100223	20060110022301	659.488261379594
10	02	01	05	659.45110363	03	1	15	5	1	1			1	407	4	7	200601100223	20060110022301	659.488261379594
10	03	01	05	659.45110363	03	1	5	5	2	1			1	200	2	0	200601100223	20060110022301	659.488261379594
10	01	01	05	673.65558484	01	2	26	2	1	2	2	01		305	3	5	200601100224	20060110022401	672.705532687518
10	02	01	05	673.65558484	03	2	7	5	1	1			1	302	3	2	200601100224	20060110022401	672.705532687518
10	01	01	05	659.45110363	01	1	24	2	1	2	2	01		610	6	10	200601100225	20060110022501	659.488261379594
10	02	01	05	659.45110363	02	2	27	2	1	2	2	07		611	6	11	200601100225	20060110022501	659.488261379594
10	03	01	05	659.45110363	03	1	1	5									200601100225	20060110022501	659.488261379594
10	01	01	05	760.0682691	01	1	36	2	1	2	2	01		303	3	3	200601100226	20060110022601	760.29421777679
10	02	01	05	760.0682691	02	2	36	2	1	2	2	07		303	3	3	200601100226	20060110022601	760.29421777679
10	03	01	05	760.0682691	03	1	15	5	1	1			1	408	4	8	200601100226	20060110022601	760.29421777679
10	04	01	05	760.0682691	03	1	11	5	1	1			1	304	3	4	200601100226	20060110022601	760.29421777679
10	01	01	05	688.25574666	01	1	47	2	1	2	2	01		100	1	0	200601100227	20060110022701	687.763540991129
10	02	01	05	688.25574666	02	2	41	2	1	2	2	07		611	6	11	200601100227	20060110022701	687.763540991129
10	03	01	05	688.25574666	03	2	18	5	1	2	2	07		611	6	11	200601100227	20060110022701	687.763540991129
10	04	01	05	688.25574666	03	1	10	5	1	1			1	304	3	4	200601100227	20060110022701	687.763540991129
10	01	01	05	678.53535606	01	2	53	4	1	2	2	01		302	3	2	200601100228	20060110022801	680.821017665816
10	02	01	05	678.53535606	03	2	32	5	1	2	2	01		611	6	11	200601100228	20060110022801	680.821017665816
10	03	01	05	678.53535606	03	2	27	5	1	2	2	07		408	4	8	200601100228	20060110022801	680.821017665816
10	04	01	05	678.53535606	03	2	25	5	1	2	2	01		611	6	11	200601100228	20060110022801	680.821017665816
10	05	01	05	678.53535606	03	2	16	5	1	1			1	610	6	10	200601100228	20060110022801	680.821017665816
10	06	01	05	678.53535606	03	1	12	5	1	1			1	400	4	0	200601100228	20060110022801	680.821017665816
10	01	01	05	720.04107024	01	1	29	2	1	2	2	01		611	6	11	200601100229	20060110022901	718.003730592257
10	02	01	05	720.04107024	02	2	33	2	1	2	2	01		611	6	11	200601100229	20060110022901	718.003730592257
10	03	01	05	720.04107024	03	2	10	5	1	1			1	304	3	4	200601100229	20060110022901	718.003730592257
10	04	01	05	720.04107024	03	1	5	5	2	1			1	200	2	0	200601100229	20060110022901	718.003730592257
10	01	01	05	728.10931818	01	1	35	2	1	2	2	01		611	6	11	200601100230	20060110023001	728.707094614638
10	02	01	05	728.10931818	02	2	21	2	1	2	2	01		503	5	3	200601100230	20060110023001	728.707094614638
10	01	01	05	728.10931818	01	1	30	2	1	2	2	01		611	6	11	200601100231	20060110023101	728.707094614638
10	02	01	05	728.10931818	02	2	21	2	1	2	2	01		503	5	3	200601100231	20060110023101	728.707094614638
