Reg	Orden	Hogar	Area	Fex_c	P3	P4	P5	P6	P7	P8	Pn8a	Pn8b	P9	P10	P10n	P10u	Llave_viv	Llave_hog	Fex_c_2011
10	03	02	05	758.6086643	03	2	10	5	1	1			1	400	4	0	200601100017	20060110001702	756.82475698304
10	04	02	05	758.6086643	03	1	7	5	1	1			1	301	3	1	200601100017	20060110001702	756.82475698304
10	01	01	05	695.990997	01	1	34	2	1	2	2	01		409	4	9	200601100018	20060110001801	695.643872271632
10	02	01	05	695.990997	02	2	31	2	1	2	2	07		305	3	5	200601100018	20060110001801	695.643872271632
10	03	01	05	695.990997	03	2	12	5	1	1			1	406	4	6	200601100018	20060110001801	695.643872271632
10	04	01	05	695.990997	03	2	8	5	1	1			1	303	3	3	200601100018	20060110001801	695.643872271632
10	01	01	05	708.81858985	01	1	58	2	1	2	2	06		611	6	11	200601100019	20060110001901	707.684388792127
10	02	01	05	708.81858985	02	2	39	2	1	2	2	02		611	6	11	200601100019	20060110001901	707.684388792127
10	03	01	05	708.81858985	03	2	6	5	2	1			2	300	3	0	200601100019	20060110001901	707.684388792127
10	01	01	05	627.55483572	01	1	40	2	1	2	2	02		301	3	1	200601100020	20060110002001	626.918842471249
10	02	01	05	627.55483572	02	2	39	2	1	2	2	11		409	4	9	200601100020	20060110002001	626.918842471249
10	03	01	05	627.55483572	03	1	15	5	1	2	2	11		408	4	8	200601100020	20060110002001	626.918842471249
10	04	01	05	627.55483572	09	2	23	5	1	2	2	02		610	6	10	200601100020	20060110002001	626.918842471249
10	05	01	05	627.55483572	03	1	6	5	1	1			1	301	3	1	200601100020	20060110002001	626.918842471249
10	06	01	05	627.55483572	09	1	2	5									200601100020	20060110002001	626.918842471249
10	01	01	05	539.34352909	01	2	22	1	2	2	2	02		100	1	0	200601100021	20060110002101	540.378778893809
10	02	01	05	539.34352909	02	1	22	1	1	2	2	01		303	3	3	200601100021	20060110002101	540.378778893809
10	03	01	05	539.34352909	03	2	6	5	2	1			1	300	3	0	200601100021	20060110002101	540.378778893809
10	04	01	05	539.34352909	06	2	59	4	2	2	2	11		100	1	0	200601100021	20060110002101	540.378778893809
10	05	01	05	539.34352909	08	2	33	4	1	2	2	02		303	3	3	200601100021	20060110002101	540.378778893809
10	06	01	05	539.34352909	09	2	10	5	1	1			1	303	3	3	200601100021	20060110002101	540.378778893809
10	07	01	05	539.34352909	09	1	18	5	1	2	2	01		408	4	8	200601100021	20060110002101	540.378778893809
10	01	01	05	533.40690113	01	2	44	5	1	2	2	01		408	4	8	200601100022	20060110002201	531.449826101474
10	02	01	05	533.40690113	03	2	20	5	1	2	2	02		611	6	11	200601100022	20060110002201	531.449826101474
10	03	01	05	533.40690113	05	1	1	5									200601100022	20060110002201	531.449826101474
10	04	01	05	533.40690113	05	1	6	5	1	1			1	301	3	1	200601100022	20060110002201	531.449826101474
10	01	01	05	902.40865679	01	2	70	2	1	2	2	11		301	3	1	200601100023	20060110002301	904.16606363359
10	02	01	05	902.40865679	02	1	78	2	2	2	2	11		100	1	0	200601100023	20060110002301	904.16606363359
10	03	01	05	902.40865679	11	1	72	1	1	2	2	11		301	3	1	200601100023	20060110002301	904.16606363359
10	04	01	05	902.40865679	11	2	39	1	1	2	2	02		301	3	1	200601100023	20060110002301	904.16606363359
10	01	02	05	902.40865679	01	1	37	1	1	2	2	01		406	4	6	200601100023	20060110002302	904.16606363359
10	02	02	05	902.40865679	02	2	35	1	1	2	2	06		303	3	3	200601100023	20060110002302	904.16606363359
10	03	02	05	902.40865679	03	1	16	5	1	1			1	610	6	10	200601100023	20060110002302	904.16606363359
10	01	01	05	688.25574666	01	1	27	1	1	2	2	01		406	4	6	200601100024	20060110002401	687.763540991129
10	02	01	05	688.25574666	02	2	36	1	1	2	2	07		406	4	6	200601100024	20060110002401	687.763540991129
10	03	01	05	688.25574666	03	2	12	5	1	1			1	407	4	7	200601100024	20060110002401	687.763540991129
10	04	01	05	688.25574666	03	1	10	5	1	1			1	304	3	4	200601100024	20060110002401	687.763540991129
10	01	01	05	491.89186958	01	1	55	1	1	2	2	01		302	3	2	200601100025	20060110002501	485.653354822294
10	02	01	05	491.89186958	02	2	33	1	1	2	2	07		407	4	7	200601100025	20060110002501	485.653354822294
10	03	01	05	491.89186958	03	1	10	5	1	1			1	304	3	4	200601100025	20060110002501	485.653354822294
10	04	01	05	491.89186958	03	1	8	5	1	1			1	303	3	3	200601100025	20060110002501	485.653354822294
10	05	01	05	491.89186958	03	1	7	5	1	1			1	301	3	1	200601100025	20060110002501	485.653354822294
10	06	01	05	491.89186958	03	2	6	5	2	1			1	300	3	0	200601100025	20060110002501	485.653354822294
10	07	01	05	491.89186958	03	1	5	5	2	1			1	200	2	0	200601100025	20060110002501	485.653354822294
10	01	01	05	628.93179952	01	2	42	4	1	2	2	07		408	4	8	200601100026	20060110002601	631.791463031547
