Reg	Orden	Hogar	Area	Fex_c	P24	P26	P27	P27na	P27nba	P27nbb	Valor28	P29	Valor29	P30	Valor30	P30a	Valor30a	P30b	Valor30b	Valor31	Valor32a	Valor32b	Valor33a	Valor33b	Valor33c	P33a	P33b	P33c	P33d	P33e	Rama4d	Oci	Llave_viv	Llave_hog	Fex_c_2011
60	02	01	05	721.30708969	42	52	4													50000	0	0	0	0	0	1	1	5	2		5261	1	200601100027	20060110002701	720.547121845338
60	01	01	05	611.8280667	45	52	4													100000	0	0	0	0	0	1	2		2		5224	1	200601100028	20060110002801	611.214406115766
60	01	01	05	713.57183936	56	17	1	1	1		408000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	1730	1	200601100029	20060110002901	712.666790564835
60	02	01	05	755.20407524	45	52	4													400000	0	0	0	0	0	1	2		2		5269	1	200601100030	20060110003001	752.982586696866
60	01	01	05	748.84578871	54	95	4													450000	0	0	0	0	0	1	1	4	2		9500	1	200601100031	20060110003101	749.974875976661
60	02	01	05	748.84578871	59	92	4													150000	0	0	0	0	0	1	1	5	2		9242	1	200601100031	20060110003101	749.974875976661
60	01	01	05	767.80351943	58	70	1	1	2	03	425000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	7020	1	200601100032	20060110003201	768.174549057293
60	02	01	05	767.80351943	54	95	3	2			380000	1	120000	2		2		2			0	0	0	0	0	1	1	2	2		9500	1	200601100032	20060110003201	768.174549057293
60	01	01	05	603.75981876	45	52	4													0	0	0	0	0	0	1	2		2		5269	1	200601100033	20060110003301	600.511042093384
60	04	01	05	504.91522227	98	60	4													400000	0	0	0	0	0	1	1	2	1	2	6021	1	200601100034	20060110003401	502.722577479303
60	01	01	05	627.38120837	41	51	5													600000	0	0	0	0	0	1	2		2		5125	1	200601100035	20060110003501	625.571908910224
60	01	01	05	814.29994916	89	26	1	2			600000	2		2		2		2			0	0	0	0	0	1	2		2		2693	1	200601100037	20060110003701	815.801976269249
60	02	01	05	814.29994916	54	95	3	2			400000	1	130000	2		2		2			0	0	0	0	0	1	2		2		9500	1	200601100037	20060110003701	815.801976269249
60	03	01	05	814.29994916	89	26	7													150000	0	0	0	0	0	1	2		2		2693	1	200601100037	20060110003701	815.801976269249
60	01	01	05	666.05974677	45	52	4													0	0	0	0	0	0	1	2		2		5269	1	200601100038	20060110003801	666.722164608224
60	02	01	05	666.05974677	53	55	4													0	0	0	0	0	0	1	2		2		5529	1	200601100038	20060110003801	666.722164608224
60	03	01	05	666.05974677	45	55	6														0	0	0	0	0	1	2		2		5529	1	200601100038	20060110003801	666.722164608224
60	01	01	05	712.30581991	60	01	1	1	1		98	2		2		2		2			0	0	0	0	0	1	1	2	1	2	0140	1	200601100039	20060110003901	710.123399311754
60	02	01	05	712.30581991	45	52	4													98	0	0	0	0	0	1	1	5	2		5269	1	200601100039	20060110003901	710.123399311754
60	01	01	05	820.76918004	79	52	4													0	0	0	0	0	0	1	2		2		5272	1	200601100040	20060110004001	821.13891629667
60	02	01	05	820.76918004	79	52	4													0	0	0	0	0	0	1	2		2		5272	1	200601100040	20060110004001	821.13891629667
60	01	01	05	634.30133081	59	95	4													160000	0	0	0	0	0	1	2		2		9500	1	200601100041	20060110004101	635.585478789789
60	01	01	05	667.18635396	91	21	1	1	1		426000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	2102	1	200601100042	20060110004201	667.368592660096
60	03	01	05	729.83955663	79	18	1	1	2	12	426000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	1810	1	200601100043	20060110004301	728.932467249523
60	01	01	05	571.21281395	55	80	1	1	1		426000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	8043	1	200601100044	20060110004401	570.148828246593
60	02	01	05	571.21281395	98	60	4													180000	0	0	0	0	0	1	2		2		6021	1	200601100044	20060110004401	570.148828246593
60	02	01	05	702.7092642	79	18	1	2			426000	2		2		2		2			0	0	0	0	0	1	2		2		1810	1	200601100045	20060110004501	704.273985289276
60	02	01	05	659.45110363	99	51	4													60000	0	0	0	0	0	1	2		2		5155	1	200601100046	20060110004601	659.488261379594
60	01	01	05	699.30467514	45	52	4													250000	0	0	0	0	0	2			2		5269	1	200601100047	20060110004701	700.431815003103
60	01	01	05	766.53749997	41	52	4													300000	0	0	0	0	0	1	2		2		5225	1	200601100048	20060110004801	765.631157804212
