Reg	Orden	Hogar	Area	Fex_c	P60	P61	P61na	P62	P63	P64	P64na	Valor65a	Valor65b	Valor65c	Valor66a	Valor66b	Valor66c	Ini	Llave_viv	Llave_hog	Fex_c_2011
80	03	01	05	725.39375249	2				2			0	0	0	0	0	0	1	200601100050	20060110005001	725.834038339213
80	02	01	05	725.30371302								0	0	0	0	0	0	1	200601100051	20060110005101	722.377899240471
80	06	01	05	725.30371302	2				2			0	0	0	0	0	0	1	200601100051	20060110005101	722.377899240471
80	02	01	05	815.71639678	1	1	7	2				0	0	0	0	0	0	1	200601100052	20060110005201	817.327099442875
80	03	01	05	815.71639678	2				2			0	0	0	0	0	0	1	200601100052	20060110005201	817.327099442875
80	01	01	05	903.20876495								0	0	0	0	0	0	1	200601100053	20060110005301	905.833949576742
80	04	01	05	903.20876495	1	2	2	2				0	0	0	0	0	0	1	200601100053	20060110005301	905.833949576742
80	05	01	05	903.20876495	2				2			0	0	0	0	0	0	1	200601100053	20060110005301	905.833949576742
80	02	01	05	718.46242445	2				2			0	0	0	0	0	0	1	200601100054	20060110005401	720.115880685632
80	03	01	05	718.46242445	2				2			0	0	0	0	0	0	1	200601100054	20060110005401	720.115880685632
80	08	01	05	783.83310608								0	0	0	0	0	0	1	200601100055	20060110005501	783.822797761334
80	01	01	05	1028.4045804	1	4	0	2				0	0	0	98	0	0	1	200601100056	20060110005601	1026.89780109964
80	02	01	05	1028.4045804	1	4	0	2				0	0	0	98	0	0	1	200601100056	20060110005601	1026.89780109964
80	02	02	05	1028.4045804	1	3	0	2				0	0	0	0	0	0	1	200601100056	20060110005602	1026.89780109964
80	01	01	05	708.36633549	1	4	3	2				0	0	0	0	0	0	1	200601100057	20060110005701	711.331926579793
80	03	01	05	708.36633549	2				2			0	0	0	0	0	0	1	200601100057	20060110005701	711.331926579793
80	04	01	05	708.36633549	2				2			0	0	0	0	0	0	1	200601100057	20060110005701	711.331926579793
80	05	01	05	708.36633549	2				2			0	0	0	0	0	0	1	200601100057	20060110005701	711.331926579793
80	01	01	05	975.44361416	1	4	1	2				0	0	381500	0	0	0	1	200601100058	20060110005801	976.311485437367
80	01	01	05	513.0408881								0	0	0	0	0	0	1	200601100059	20060110005901	515.779083525388
80	03	01	05	513.0408881	2				2			0	0	0	0	0	0	1	200601100059	20060110005901	515.779083525388
80	05	01	05	513.0408881	2				2			0	0	0	0	0	0	1	200601100059	20060110005901	515.779083525388
80	02	01	05	779.76138315	1	3	3	2				0	0	0	0	0	0	1	200601100060	20060110006001	777.733960412331
80	03	01	05	713.57183936	2				2			0	0	0	0	0	0	1	200601100064	20060110006401	712.666790564835
80	03	01	05	657.73644255	2				2			0	0	0	0	0	0	1	200601100065	20060110006501	660.066742643082
80	04	01	05	657.73644255	2				2			0	0	0	0	0	0	1	200601100065	20060110006501	660.066742643082
80	05	01	05	657.73644255	2				2			0	0	0	0	0	0	1	200601100065	20060110006501	660.066742643082
80	03	01	05	742.48742673	1	1	2	2				0	0	0	0	0	0	1	200601100067	20060110006701	743.271299483587
80	03	01	05	563.58850796	1	1	8	2				0	0	0	0	0	0	1	200601100068	20060110006801	564.597726273307
80	01	01	05	824.17376909	2				2			0	0	0	0	0	0	1	200601100070	20060110007001	824.981086582844
80	01	01	05	611.12914391								0	0	0	0	0	0	1	200601100073	20060110007301	613.805951896779
80	02	01	05	611.12914391	1	4	4	2				0	0	0	0	0	0	1	200601100073	20060110007301	613.805951896779
80	04	01	05	611.12914391	1	2	4	1		1	09	0	0	0	0	0	0	1	200601100073	20060110007301	613.805951896779
80	02	01	05	528.03006236	2				2			0	0	0	0	0	0	1	200601100074	20060110007401	527.309343766109
80	02	01	05	695.990997	1	2	6	2				0	0	0	0	0	0	1	200601100075	20060110007501	695.643872271632
80	04	01	05	761.33428855	2				2			0	0	0	0	0	0	1	200601100076	20060110007601	762.837609029871
80	03	01	05	760.0682691	2				2			0	0	0	0	0	0	1	200601100077	20060110007701	760.29421777679
80	02	01	05	880.12167055	1	4	5	2				0	140000	381500	0	0	0	1	200601100078	20060110007801	880.374593923114
