Reg	Orden	Hogar	Area	Fex_c	Oci	P37	P37na	Valor38	P39	P40	P41	P42	P43	P44	P45	P46a	P46b	P46c	P46d	P46e	P46f	P46g	P46h	P46i	P47	P48	Llave_viv	Llave_hog	Fex_c_2011
62	01	01	05	667.18635396	1	2				2					2												200601100042	20060110004201	667.368592660096
62	03	01	05	729.83955663	1	2				2					1		1		1						2	1	200601100043	20060110004301	728.932467249523
62	01	01	05	571.21281395	1	2				2					1				1						1	1	200601100044	20060110004401	570.148828246593
62	02	01	05	571.21281395	1	2				1	60	1	1	1			1		1				1		1	1	200601100044	20060110004401	570.148828246593
62	02	01	05	702.7092642	1	2				2					1				1						2	1	200601100045	20060110004501	704.273985289276
62	02	01	05	659.45110363	1	2				2					1		1						1		2	1	200601100046	20060110004601	659.488261379594
62	01	01	05	699.30467514	1	2				2					2												200601100047	20060110004701	700.431815003103
62	01	01	05	766.53749997	1	2				2					2												200601100048	20060110004801	765.631157804212
62	01	01	05	747.69214372	1	2				2					2												200601100049	20060110004901	746.746375170526
62	01	01	05	725.30371302	1	2				2					2												200601100051	20060110005101	722.377899240471
62	01	01	05	815.71639678	1	2				2					2												200601100052	20060110005201	817.327099442875
62	02	01	05	903.20876495	1	2				2					2												200601100053	20060110005301	905.833949576742
62	03	01	05	903.20876495	1	2				2					1		1		1						2	1	200601100053	20060110005301	905.833949576742
62	01	01	05	718.46242445	1	2				1	40	1	1	2													200601100054	20060110005401	720.115880685632
62	04	01	05	718.46242445	1	2				2					2												200601100054	20060110005401	720.115880685632
62	02	01	05	783.83310608	1	2				2					1		1								2	1	200601100055	20060110005501	783.822797761334
62	04	01	05	783.83310608	1	2				2					2												200601100055	20060110005501	783.822797761334
62	07	01	05	783.83310608	1	2				2					2												200601100055	20060110005501	783.822797761334
62	03	01	05	1028.4045804	1	2				2					1		1								1	1	200601100056	20060110005601	1026.89780109964
62	01	02	05	1028.4045804	1	2				2					1								1		2	1	200601100056	20060110005602	1026.89780109964
62	02	01	05	708.36633549	1	2				2					2												200601100057	20060110005701	711.331926579793
62	06	01	05	708.36633549	1	2				2					2												200601100057	20060110005701	711.331926579793
